UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,ADMCON10,ADMCON11,ADMCON12,APPLCN,APPLCNM,APPLCNW,APPLCNAN,APPLCNUN,ADMSSN,ADMSSNM,ADMSSNW,ADMSSNAN,ADMSSNUN,ENRLT,ENRLM,ENRLW,ENRLAN,ENRLUN,ENRLFT,ENRLFTM,ENRLFTW,ENRLFTAN,ENRLFTUN,ENRLPT,ENRLPTM,ENRLPTW,ENRLPTAN,ENRLPTUN,SATNUM,SATPCT,ACTNUM,ACTPCT,SATVR25,SATVR50,SATVR75,SATMT25,SATMT50,SATMT75,ACTCM25,ACTCM50,ACTCM75,ACTEN25,ACTEN50,ACTEN75,ACTMT25,ACTMT50,ACTMT75
100654,1,3,1,3,3,3,5,1,3,3,3,3,8907,2924,5983,,0,6092.0,1932.0,4160.0,,0,1724.0,689.0,1035.0,,0,1684.0,675.0,1009.0,,0.0,40.0,14.0,26.0,,0.0,1195.0,69.0,20.0,1.0,430.0,470.0,523.0,400.0,450.0,510.0,15.0,17.0,19.0,13.0,16.0,20.0,15.0,16.0,18.0
100663,1,3,1,1,3,3,5,3,3,3,3,3,9947,3451,6496,,0,8622.0,2870.0,5752.0,,0,2217.0,755.0,1462.0,,0,2172.0,733.0,1439.0,,0.0,45.0,22.0,23.0,,0.0,145.0,7.0,1081.0,49.0,610.0,650.0,690.0,590.0,650.0,720.0,23.0,27.0,30.0,22.0,27.0,33.0,20.0,25.0,28.0
100706,1,3,1,3,3,3,5,1,3,3,3,3,5581,2822,2759,,0,4359.0,2320.0,2039.0,,0,1172.0,753.0,419.0,,0,1154.0,743.0,411.0,,0.0,18.0,10.0,8.0,,0.0,74.0,6.0,649.0,55.0,613.0,650.0,700.0,613.0,685.0,730.0,25.0,26.0,30.0,24.0,28.0,34.0,23.0,26.0,30.0
100724,1,3,1,3,3,3,5,1,3,1,1,5,6731,2147,4529,,55,6502.0,2036.0,4412.0,,54,943.0,361.0,582.0,,0,938.0,360.0,578.0,,0.0,5.0,1.0,4.0,,0.0,166.0,18.0,271.0,29.0,429.0,480.0,531.0,399.0,455.0,510.0,16.0,18.0,20.0,14.0,17.0,20.0,14.0,16.0,18.0
100751,1,5,1,1,3,3,5,1,3,5,5,3,54072,21550,32522,,0,43290.0,17129.0,26161.0,,0,8037.0,3490.0,4547.0,,0,7981.0,3462.0,4519.0,,0.0,56.0,28.0,28.0,,0.0,1339.0,17.0,3594.0,45.0,570.0,630.0,690.0,560.0,630.0,720.0,23.0,28.0,31.0,23.0,28.0,34.0,22.0,26.0,29.0
100830,1,5,1,3,3,3,1,1,3,3,3,3,2290,689,1600,1.0,0,2112.0,636.0,1475.0,1.0,0,407.0,133.0,274.0,0.0,0,384.0,123.0,261.0,,0.0,23.0,10.0,13.0,,0.0,15.0,4.0,303.0,75.0,510.0,540.0,615.0,500.0,530.0,575.0,18.0,20.0,25.0,17.0,21.0,24.0,16.0,18.0,23.0
100858,1,5,1,1,5,3,5,1,3,3,3,3,45693,18548,27145,,0,19988.0,8261.0,11727.0,,0,5303.0,2481.0,2822.0,,0,5282.0,2469.0,2813.0,,0.0,21.0,12.0,9.0,,0.0,824.0,17.0,4211.0,86.0,610.0,650.0,680.0,610.0,650.0,700.0,24.0,27.0,30.0,24.0,28.0,33.0,22.0,26.0,28.0
100937,1,5,5,5,5,5,5,5,3,5,5,5,3019,1409,1610,,0,1726.0,811.0,915.0,,0,244.0,142.0,102.0,,0,244.0,142.0,102.0,,0.0,,,,,,33.0,14.0,122.0,50.0,590.0,620.0,670.0,560.0,590.0,610.0,22.0,25.0,29.0,22.0,25.0,30.0,20.0,24.0,26.0
101189,1,3,1,3,3,3,5,1,3,3,3,3,1728,786,942,,0,1424.0,652.0,772.0,,0,238.0,137.0,101.0,,0,211.0,128.0,83.0,,0.0,27.0,9.0,18.0,,0.0,13.0,6.0,92.0,47.0,470.0,510.0,570.0,480.0,520.0,560.0,17.0,19.0,24.0,17.0,21.0,25.0,16.0,18.0,23.0
101365,1,3,1,3,3,3,3,1,1,3,3,3,153,51,102,0.0,0,144.0,48.0,96.0,,0,99.0,33.0,66.0,,0,15.0,1.0,14.0,,0.0,84.0,32.0,52.0,,0.0,,,,,,,,,,,,,,,,,,,
