UNITID,LEXP100K,LCOLELYN,LPBOOKS,LEBOOKS,LEDATAB,LPMEDIA,LEMEDIA,LPSERIA,LESERIA,LPCLLCT,LECLLCT,LTCLLCT,LPCRCLT,LECRCLT,LTCRCLT,LILLDYN,LILLDPR,LILLDRC,LILSYN,LSTOTAL,LSLIBRN,LSOPROF,LSOPAID,LSSTAST,LBRANCH,LSALWAG,LFRNGBYN,LFRNGBN,LEXMSBB,LEXMSCS,LEXMSOT,LEXMSTL,LEXOMPS,LEXOMOT,LEXOMTL,LEXPTOT,LSWMSOM
100654,1,2,387631.0,228498.0,106.0,26186.0,38684.0,1392.0,132581.0,415209.0,399869.0,815078.0,1879.0,196426.0,198305.0,1,2542.0,146.0,1.0,26.0,7.0,4.0,3.0,12.0,0.0,1162701.0,1,372120.0,35325.0,751351.0,126765.0,913441.0,17280.0,1098217.0,1115497.0,3563759.0,3191639.0
100663,1,2,901571.0,520306.0,573.0,21677.0,25253.0,27543.0,123641.0,950791.0,669773.0,1620564.0,27338.0,212934.0,240272.0,1,15394.0,4776.0,1.0,108.5,32.0,40.0,24.5,12.0,1.0,4053374.0,1,1143798.0,2240810.0,8159643.0,189585.0,10590038.0,14593.0,2724855.0,2739448.0,18526658.0,17382860.0
100690,1,2,53214.0,746.0,62.0,0.0,0.0,1220.0,0.0,54434.0,808.0,55242.0,39.0,35832.0,35871.0,1,0.0,436.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,52655.0,2,0.0,9813.0,79860.0,4044.0,93717.0,0.0,5038.0,5038.0,151410.0,151410.0
100706,1,2,205107.0,489643.0,251.0,14480.0,86133.0,852.0,107650.0,220439.0,683677.0,904116.0,2747.0,323020.0,325767.0,1,4489.0,2145.0,1.0,30.8,10.8,4.0,7.31,8.69,0.0,1298795.0,2,0.0,47819.0,1483326.0,30547.0,1561692.0,4516.0,132732.0,137248.0,2997735.0,2997735.0
100724,1,2,224634.0,110047.0,198.0,34696.0,2.0,1616.0,7113.0,260946.0,117360.0,378306.0,517.0,37456.0,37973.0,1,262.0,19.0,1.0,39.0,13.0,6.0,11.0,9.0,0.0,1256374.0,1,434503.0,45954.0,565249.0,0.0,611203.0,4623.0,254731.0,259354.0,2561434.0,2126931.0
100751,1,2,2181245.0,2781589.0,623.0,199221.0,227948.0,72442.0,247455.0,2452908.0,3257615.0,5710523.0,35730.0,349569.0,385299.0,1,9493.0,8233.0,1.0,163.0,56.0,21.0,47.0,39.0,6.0,7223031.0,2,0.0,1533185.0,11095746.0,684575.0,13313506.0,0.0,2537690.0,2537690.0,23074227.0,23074227.0
100760,1,2,26471.0,8656.0,2.0,472.0,0.0,0.0,0.0,26943.0,8658.0,35601.0,680.0,11.0,691.0,1,0.0,0.0,1.0,4.0,2.0,1.0,0.0,1.0,2.0,213333.0,1,50267.0,0.0,15594.0,3795.0,19389.0,0.0,4536.0,4536.0,287525.0,237258.0
100812,1,2,90400.0,604083.0,148.0,236.0,30006.0,81.0,75575.0,90717.0,709812.0,800529.0,1186.0,115942.0,117128.0,1,528.0,145.0,1.0,11.0,5.0,3.0,0.0,3.0,0.0,470659.0,1,161154.0,48368.0,216226.0,358.0,264952.0,0.0,13120.0,13120.0,909885.0,748731.0
100830,1,2,613706.0,716998.0,0.0,4253.0,167.0,959.0,64128.0,618918.0,781293.0,1400211.0,1897.0,1966.0,3863.0,1,621.0,1182.0,1.0,30.0,8.0,10.0,3.0,9.0,0.0,993545.0,1,292130.0,37560.0,395235.0,44887.0,477682.0,100.0,107026.0,107126.0,1870483.0,1578353.0
100858,1,2,1669761.0,1485650.0,358.0,609736.0,62732.0,66353.0,255636.0,2345850.0,1804376.0,4150226.0,45212.0,2254953.0,2300165.0,1,17673.0,6774.0,1.0,160.54,27.0,35.0,23.25,75.29,2.0,6239588.0,1,1479586.0,1066416.0,8449947.0,79742.0,9596105.0,19124.0,1918804.0,1937928.0,19253207.0,17773621.0
