UNITID,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12
100654,68,66.0,70.0,28.0,36.0,25.0,28.0,35.0,24.0,1.0,1.0,1.0
100663,87,83.0,89.0,26.0,26.0,25.0,25.0,26.0,25.0,1.0,1.0,0.0
100706,78,82.0,74.0,27.0,32.0,21.0,26.0,32.0,20.0,0.0,0.0,0.0
100724,97,95.0,97.0,15.0,18.0,13.0,14.0,18.0,13.0,0.0,0.0,0.0
100751,80,79.0,80.0,19.0,20.0,17.0,18.0,20.0,17.0,0.0,0.0,0.0
100830,92,92.0,92.0,19.0,21.0,19.0,18.0,19.0,18.0,1.0,2.0,1.0
100858,44,45.0,43.0,27.0,30.0,24.0,26.0,30.0,24.0,0.0,0.0,0.0
100937,57,58.0,57.0,14.0,18.0,11.0,14.0,18.0,11.0,0.0,0.0,0.0
101189,82,83.0,82.0,17.0,21.0,13.0,15.0,20.0,11.0,2.0,1.0,2.0
101365,94,94.0,94.0,69.0,69.0,69.0,10.0,2.0,15.0,58.0,67.0,54.0
101435,66,67.0,65.0,15.0,18.0,12.0,15.0,18.0,12.0,0.0,0.0,0.0
101453,100,100.0,100.0,75.0,67.0,100.0,75.0,67.0,100.0,0.0,0.0,0.0
101480,78,78.0,79.0,20.0,23.0,18.0,19.0,22.0,18.0,0.0,0.0,0.0
101587,69,67.0,69.0,14.0,19.0,13.0,14.0,18.0,12.0,1.0,1.0,0.0
101648,63,66.0,56.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0
101693,84,83.0,85.0,19.0,26.0,16.0,19.0,26.0,16.0,0.0,0.0,0.0
101709,60,59.0,63.0,14.0,19.0,12.0,14.0,19.0,12.0,0.0,0.0,0.0
101879,96,96.0,96.0,30.0,31.0,29.0,29.0,30.0,28.0,1.0,1.0,1.0
101912,68,66.0,69.0,38.0,48.0,33.0,38.0,47.0,33.0,0.0,1.0,0.0
102049,83,79.0,85.0,27.0,25.0,28.0,27.0,25.0,28.0,0.0,0.0,0.0
102094,65,65.0,66.0,20.0,20.0,19.0,19.0,20.0,19.0,0.0,0.0,0.0
102234,73,75.0,71.0,15.0,18.0,14.0,15.0,18.0,13.0,0.0,0.0,0.0
102270,65,62.0,66.0,13.0,17.0,11.0,11.0,14.0,10.0,2.0,3.0,1.0
102368,95,94.0,95.0,25.0,27.0,24.0,21.0,22.0,21.0,4.0,5.0,3.0
102377,30,30.0,30.0,15.0,20.0,13.0,15.0,20.0,13.0,0.0,0.0,0.0
102395,100,100.0,100.0,100.0,100.0,100.0,33.0,0.0,100.0,67.0,100.0,0.0
102553,65,65.0,66.0,41.0,44.0,39.0,27.0,31.0,24.0,14.0,13.0,15.0
102632,63,70.0,59.0,57.0,62.0,53.0,38.0,46.0,33.0,18.0,16.0,20.0
102669,99,98.0,100.0,7.0,6.0,7.0,6.0,6.0,6.0,1.0,1.0,2.0
104151,90,88.0,91.0,25.0,26.0,23.0,24.0,25.0,23.0,0.0,0.0,0.0
104179,87,85.0,88.0,20.0,19.0,21.0,13.0,13.0,14.0,7.0,7.0,7.0
104586,68,68.0,67.0,31.0,32.0,31.0,31.0,32.0,31.0,0.0,0.0,0.0
104717,78,83.0,80.0,37.0,38.0,36.0,32.0,34.0,31.0,5.0,4.0,5.0
105330,80,79.0,81.0,16.0,17.0,15.0,15.0,17.0,14.0,0.0,0.0,0.0
105589,98,100.0,98.0,18.0,26.0,14.0,18.0,26.0,14.0,0.0,0.0,0.0
105899,70,67.0,76.0,33.0,30.0,38.0,32.0,30.0,35.0,1.0,0.0,3.0
106245,61,63.0,61.0,25.0,30.0,22.0,24.0,29.0,21.0,1.0,2.0,1.0
106342,60,58.0,64.0,18.0,17.0,19.0,17.0,17.0,19.0,0.0,0.0,0.0
106397,79,77.0,81.0,34.0,38.0,32.0,34.0,38.0,32.0,0.0,0.0,0.0
106412,69,67.0,71.0,20.0,26.0,16.0,17.0,22.0,15.0,2.0,4.0,2.0
106458,70,66.0,72.0,32.0,30.0,33.0,30.0,28.0,31.0,2.0,2.0,2.0
106467,94,94.0,95.0,27.0,31.0,24.0,25.0,30.0,23.0,1.0,1.0,1.0
106546,86,50.0,92.0,33.0,0.0,36.0,33.0,0.0,36.0,0.0,0.0,0.0
106704,91,90.0,92.0,30.0,32.0,29.0,30.0,32.0,29.0,0.0,0.0,0.0
106713,64,67.0,61.0,60.0,64.0,54.0,60.0,64.0,54.0,0.0,0.0,0.0
107044,45,46.0,45.0,79.0,80.0,78.0,79.0,80.0,77.0,0.0,0.0,0.0
107071,71,68.0,72.0,25.0,31.0,21.0,24.0,30.0,21.0,1.0,1.0,0.0
107080,60,57.0,64.0,22.0,24.0,21.0,22.0,24.0,21.0,0.0,0.0,0.0
107141,57,62.0,54.0,36.0,40.0,34.0,36.0,39.0,34.0,0.0,0.0,0.0
107512,72,67.0,76.0,30.0,32.0,29.0,30.0,32.0,29.0,0.0,0.0,0.0
107558,60,57.0,62.0,18.0,20.0,16.0,18.0,20.0,16.0,0.0,0.0,0.0
107585,100,100.0,100.0,48.0,53.0,45.0,41.0,44.0,39.0,7.0,8.0,6.0
107877,59,56.0,61.0,26.0,26.0,25.0,26.0,26.0,25.0,0.0,0.0,0.0
107983,64,64.0,63.0,38.0,44.0,34.0,38.0,44.0,34.0,0.0,0.0,0.0
108852,90,89.0,90.0,34.0,35.0,34.0,34.0,35.0,34.0,0.0,0.0,0.0
108861,67,73.0,57.0,100.0,100.0,100.0,25.0,38.0,0.0,75.0,63.0,100.0
109651,71,61.0,76.0,32.0,44.0,27.0,32.0,44.0,27.0,0.0,0.0,0.0
109785,87,86.0,87.0,17.0,16.0,18.0,17.0,15.0,18.0,0.0,0.0,0.0
110097,57,54.0,59.0,30.0,33.0,27.0,29.0,32.0,27.0,1.0,1.0,0.0
110361,80,78.0,81.0,21.0,23.0,21.0,21.0,22.0,20.0,1.0,0.0,1.0
110370,76,71.0,78.0,8.0,10.0,8.0,8.0,10.0,8.0,0.0,0.0,0.0
110404,3,2.0,4.0,50.0,55.0,46.0,50.0,55.0,46.0,0.0,0.0,0.0
110413,87,86.0,88.0,13.0,14.0,13.0,13.0,14.0,13.0,0.0,0.0,0.0
110422,30,25.0,36.0,29.0,32.0,26.0,29.0,32.0,26.0,0.0,0.0,0.0
110468,0,0.0,,,,,,,,,,
110486,87,85.0,88.0,9.0,8.0,10.0,9.0,8.0,10.0,0.0,0.0,0.0
110495,97,96.0,97.0,18.0,17.0,18.0,16.0,15.0,17.0,1.0,1.0,1.0
110510,91,89.0,92.0,16.0,17.0,16.0,16.0,16.0,16.0,1.0,1.0,1.0
110529,55,48.0,63.0,13.0,17.0,11.0,13.0,16.0,11.0,0.0,0.0,0.0
110538,95,94.0,96.0,10.0,11.0,9.0,10.0,11.0,9.0,0.0,0.0,0.0
110547,89,87.0,91.0,12.0,13.0,11.0,11.0,12.0,11.0,1.0,1.0,1.0
110556,95,95.0,96.0,20.0,19.0,20.0,18.0,18.0,18.0,1.0,1.0,1.0
110565,67,64.0,69.0,16.0,17.0,16.0,15.0,16.0,15.0,1.0,1.0,1.0
110574,96,96.0,96.0,7.0,8.0,7.0,7.0,8.0,7.0,0.0,0.0,0.0
110583,40,36.0,43.0,18.0,19.0,17.0,18.0,19.0,17.0,0.0,0.0,0.0
110592,87,84.0,89.0,13.0,15.0,12.0,13.0,15.0,11.0,1.0,1.0,1.0
110608,91,89.0,93.0,21.0,22.0,20.0,21.0,22.0,20.0,0.0,0.0,0.0
110617,93,92.0,94.0,17.0,18.0,16.0,16.0,17.0,16.0,0.0,1.0,0.0
110635,11,9.0,14.0,46.0,50.0,44.0,46.0,50.0,44.0,0.0,0.0,0.0
110644,37,32.0,42.0,18.0,18.0,18.0,18.0,17.0,18.0,0.0,0.0,0.0
110653,21,18.0,24.0,22.0,22.0,23.0,22.0,22.0,23.0,0.0,0.0,0.0
110662,9,7.0,10.0,50.0,47.0,52.0,50.0,47.0,52.0,0.0,0.0,0.0
110671,69,64.0,73.0,15.0,16.0,14.0,15.0,16.0,14.0,0.0,0.0,0.0
110680,24,21.0,26.0,21.0,22.0,21.0,21.0,21.0,21.0,0.0,0.0,0.0
110705,26,23.0,28.0,17.0,18.0,17.0,17.0,18.0,17.0,0.0,0.0,0.0
110714,47,42.0,51.0,12.0,14.0,12.0,12.0,14.0,12.0,0.0,0.0,0.0
110918,100,,100.0,100.0,,100.0,0.0,,0.0,100.0,,100.0
111081,25,24.0,25.0,36.0,32.0,36.0,36.0,32.0,36.0,0.0,0.0,0.0
111188,96,95.0,97.0,20.0,22.0,14.0,20.0,22.0,14.0,0.0,0.0,0.0
111638,40,40.0,40.0,75.0,80.0,67.0,75.0,80.0,67.0,0.0,0.0,0.0
111948,73,69.0,75.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0,0.0,0.0
111966,80,62.0,89.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
112075,69,62.0,74.0,14.0,15.0,13.0,14.0,15.0,13.0,0.0,0.0,0.0
112260,10,10.0,10.0,54.0,59.0,51.0,54.0,59.0,51.0,0.0,0.0,0.0
112394,65,60.0,77.0,56.0,60.0,52.0,52.0,53.0,52.0,4.0,6.0,0.0
113582,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
113616,55,50.0,57.0,67.0,100.0,50.0,67.0,100.0,50.0,0.0,0.0,0.0
113698,93,91.0,94.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0
114354,42,43.0,41.0,42.0,43.0,42.0,38.0,37.0,38.0,4.0,6.0,4.0
114813,75,70.0,78.0,25.0,26.0,24.0,25.0,26.0,24.0,0.0,0.0,0.0
115409,13,9.0,21.0,40.0,43.0,38.0,40.0,43.0,38.0,0.0,0.0,0.0
115728,100,100.0,100.0,15.0,14.0,15.0,15.0,14.0,15.0,0.0,0.0,0.0
115755,98,98.0,98.0,12.0,12.0,11.0,11.0,12.0,11.0,0.0,0.0,0.0
117104,94,92.0,96.0,55.0,58.0,53.0,53.0,58.0,50.0,1.0,0.0,3.0
117140,74,70.0,76.0,15.0,15.0,15.0,14.0,14.0,14.0,0.0,0.0,0.0
117168,88,87.0,89.0,36.0,42.0,35.0,36.0,41.0,35.0,0.0,1.0,0.0
117283,100,100.0,100.0,38.0,30.0,45.0,24.0,20.0,27.0,14.0,10.0,18.0
117627,92,94.0,91.0,19.0,23.0,17.0,19.0,23.0,17.0,0.0,0.0,0.0
117751,78,76.0,80.0,49.0,52.0,47.0,48.0,50.0,46.0,2.0,2.0,2.0
117946,41,42.0,41.0,18.0,20.0,17.0,18.0,20.0,17.0,0.0,0.0,0.0
118198,94,95.0,94.0,79.0,81.0,79.0,79.0,81.0,79.0,0.0,0.0,0.0
118693,62,59.0,64.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0
119173,76,61.0,77.0,21.0,39.0,20.0,21.0,39.0,20.0,0.0,0.0,0.0
119270,78,82.0,73.0,42.0,50.0,28.0,36.0,42.0,22.0,7.0,8.0,6.0
119775,45,34.0,57.0,24.0,25.0,24.0,24.0,25.0,24.0,0.0,0.0,0.0
120166,69,69.0,72.0,16.0,15.0,18.0,16.0,15.0,18.0,0.0,0.0,0.0
120254,39,36.0,41.0,21.0,23.0,20.0,21.0,23.0,20.0,0.0,0.0,0.0
120403,83,78.0,85.0,18.0,22.0,17.0,18.0,22.0,17.0,0.0,0.0,0.0
120537,32,31.0,33.0,33.0,38.0,31.0,33.0,38.0,31.0,0.0,0.0,0.0
120661,96,98.0,95.0,71.0,75.0,71.0,60.0,59.0,60.0,12.0,16.0,11.0
120768,40,22.0,43.0,12.0,0.0,13.0,0.0,0.0,0.0,12.0,0.0,13.0
120838,33,17.0,67.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
120865,48,50.0,47.0,17.0,17.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0
120883,93,93.0,93.0,15.0,18.0,14.0,15.0,18.0,14.0,0.0,0.0,0.0
121150,49,52.0,47.0,17.0,16.0,17.0,17.0,16.0,17.0,0.0,0.0,0.0
121257,18,20.0,17.0,48.0,56.0,44.0,48.0,56.0,44.0,0.0,0.0,0.0
121309,82,90.0,78.0,27.0,28.0,26.0,27.0,28.0,26.0,0.0,0.0,0.0
121345,7,8.0,6.0,55.0,51.0,58.0,55.0,51.0,58.0,0.0,0.0,0.0
121691,82,78.0,85.0,17.0,16.0,18.0,17.0,16.0,18.0,0.0,0.0,0.0
122409,39,36.0,41.0,22.0,22.0,21.0,22.0,22.0,21.0,0.0,0.0,0.0
122436,53,49.0,55.0,16.0,18.0,16.0,16.0,18.0,16.0,0.0,0.0,0.0
122506,42,44.0,41.0,28.0,31.0,21.0,28.0,31.0,21.0,0.0,0.0,0.0
122597,94,93.0,95.0,12.0,13.0,11.0,11.0,12.0,11.0,1.0,1.0,0.0
122612,71,69.0,72.0,9.0,10.0,9.0,9.0,10.0,9.0,0.0,0.0,0.0
122728,66,65.0,67.0,34.0,37.0,32.0,33.0,35.0,32.0,1.0,3.0,0.0
122755,77,69.0,84.0,15.0,18.0,13.0,15.0,17.0,13.0,1.0,1.0,0.0
