UNITID,OM1TOTLAWDP4,OM1TOTLAWDP6,OM1TOTLAWDP8,OM1TOTLENYP8,OM1TOTLENAP8,OM1TOTLENUP8,OM1TOTLCRTP8,OM1TOTLASCP8,OM1TOTLBACP8,OM1PELLAWDP4,OM1PELLAWDP6,OM1PELLAWDP8,OM1PELLENYP8,OM1PELLENAP8,OM1PELLENUP8,OM1PELLCRTP8,OM1PELLASCP8,OM1PELLBACP8,OM1NPELAWDP4,OM1NPELAWDP6,OM1NPELAWDP8,OM1NPELENYP8,OM1NPELENAP8,OM1NPELENUP8,OM1NPELCRTP8,OM1NPELASCP8,OM1NPELBACP8,OM2TOTLAWDP4,OM2TOTLAWDP6,OM2TOTLAWDP8,OM2TOTLENYP8,OM2TOTLENAP8,OM2TOTLENUP8,OM2TOTLCRTP8,OM2TOTLASCP8,OM2TOTLBACP8,OM2PELLAWDP4,OM2PELLAWDP6,OM2PELLAWDP8,OM2PELLENYP8,OM2PELLENAP8,OM2PELLENUP8,OM2PELLCRTP8,OM2PELLASCP8,OM2PELLBACP8,OM2NPELAWDP4,OM2NPELAWDP6,OM2NPELAWDP8,OM2NPELENYP8,OM2NPELENAP8,OM2NPELENUP8,OM2NPELCRTP8,OM2NPELASCP8,OM2NPELBACP8,OM3TOTLAWDP4,OM3TOTLAWDP6,OM3TOTLAWDP8,OM3TOTLENYP8,OM3TOTLENAP8,OM3TOTLENUP8,OM3TOTLCRTP8,OM3TOTLASCP8,OM3TOTLBACP8,OM3PELLAWDP4,OM3PELLAWDP6,OM3PELLAWDP8,OM3PELLENYP8,OM3PELLENAP8,OM3PELLENUP8,OM3PELLCRTP8,OM3PELLASCP8,OM3PELLBACP8,OM3NPELAWDP4,OM3NPELAWDP6,OM3NPELAWDP8,OM3NPELENYP8,OM3NPELENAP8,OM3NPELENUP8,OM3NPELCRTP8,OM3NPELASCP8,OM3NPELBACP8,OM4TOTLAWDP4,OM4TOTLAWDP6,OM4TOTLAWDP8,OM4TOTLENYP8,OM4TOTLENAP8,OM4TOTLENUP8,OM4TOTLCRTP8,OM4TOTLASCP8,OM4TOTLBACP8,OM4PELLAWDP4,OM4PELLAWDP6,OM4PELLAWDP8,OM4PELLENYP8,OM4PELLENAP8,OM4PELLENUP8,OM4PELLCRTP8,OM4PELLASCP8,OM4PELLBACP8,OM4NPELAWDP4,OM4NPELAWDP6,OM4NPELAWDP8,OM4NPELENYP8,OM4NPELENAP8,OM4NPELENUP8,OM4NPELCRTP8,OM4NPELASCP8,OM4NPELBACP8
100654,10.0,27.0,29.0,2.0,34.0,34.0,0.0,,29.0,7.0,23.0,26.0,2.0,34.0,37.0,0.0,,26.0,18.0,37.0,40.0,2.0,33.0,25.0,0.0,,40.0,5.0,13.0,15.0,2.0,37.0,46.0,0.0,,15.0,5.0,16.0,19.0,2.0,40.0,38.0,0.0,,19.0,3.0,5.0,5.0,3.0,28.0,64.0,0.0,,5.0,48.0,57.0,60.0,1.0,21.0,18.0,0.0,,60.0,45.0,55.0,58.0,1.0,23.0,18.0,0.0,,58.0,53.0,61.0,63.0,0.0,18.0,19.0,0.0,,63.0,19.0,29.0,29.0,0.0,34.0,37.0,0.0,,29.0,24.0,29.0,29.0,0.0,37.0,34.0,0.0,,29.0,13.0,29.0,29.0,0.0,29.0,42.0,0.0,,29.0
100663,38.0,61.0,63.0,1.0,21.0,15.0,0.0,,63.0,25.0,51.0,54.0,1.0,25.0,21.0,0.0,,54.0,46.0,66.0,69.0,1.0,19.0,11.0,0.0,,69.0,13.0,34.0,37.0,5.0,24.0,34.0,0.0,,37.0,7.0,33.0,40.0,7.0,20.0,33.0,0.0,,40.0,17.0,35.0,35.0,4.0,26.0,35.0,0.0,,35.0,54.0,61.0,63.0,0.0,19.0,18.0,0.0,,63.0,46.0,54.0,56.0,1.0,23.0,20.0,0.0,,56.0,61.0,68.0,69.0,0.0,16.0,16.0,0.0,,69.0,28.0,35.0,37.0,1.0,23.0,39.0,0.0,,37.0,33.0,44.0,45.0,1.0,23.0,31.0,0.0,,45.0,26.0,32.0,34.0,1.0,23.0,43.0,0.0,,34.0
100690,11.0,11.0,11.0,0.0,33.0,56.0,,0.0,11.0,0.0,0.0,0.0,0.0,43.0,57.0,,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.0,,0.0,50.0,0.0,0.0,0.0,0.0,67.0,33.0,,0.0,0.0,0.0,0.0,0.0,0.0,75.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,,0.0,0.0,23.0,27.0,29.0,0.0,25.0,46.0,,0.0,29.0,22.0,25.0,25.0,0.0,23.0,52.0,,0.0,25.0,26.0,37.0,47.0,0.0,32.0,21.0,,0.0,47.0,20.0,23.0,23.0,0.0,33.0,43.0,,0.0,23.0,8.0,12.0,12.0,0.0,36.0,52.0,,0.0,12.0,80.0,80.0,80.0,0.0,20.0,0.0,,0.0,80.0
100706,31.0,57.0,61.0,2.0,24.0,13.0,0.0,,61.0,22.0,49.0,52.0,2.0,28.0,19.0,0.0,,52.0,34.0,60.0,65.0,2.0,23.0,11.0,0.0,,65.0,5.0,15.0,15.0,0.0,50.0,35.0,0.0,,15.0,17.0,17.0,17.0,0.0,50.0,33.0,0.0,,17.0,0.0,14.0,14.0,0.0,50.0,36.0,0.0,,14.0,53.0,60.0,63.0,1.0,23.0,14.0,0.0,,63.0,48.0,57.0,59.0,1.0,25.0,16.0,0.0,,59.0,56.0,63.0,66.0,0.0,21.0,13.0,0.0,,66.0,28.0,40.0,43.0,1.0,33.0,22.0,0.0,,43.0,28.0,43.0,46.0,0.0,33.0,21.0,0.0,,46.0,28.0,39.0,42.0,2.0,34.0,22.0,0.0,,42.0
100724,13.0,29.0,32.0,0.0,35.0,33.0,,,32.0,12.0,28.0,31.0,0.0,38.0,31.0,,,31.0,21.0,34.0,36.0,0.0,20.0,44.0,,,36.0,0.0,3.0,5.0,0.0,13.0,82.0,,,5.0,0.0,5.0,5.0,0.0,19.0,76.0,,,5.0,0.0,0.0,6.0,0.0,6.0,88.0,,,6.0,41.0,48.0,49.0,0.0,36.0,15.0,,,49.0,37.0,45.0,47.0,0.0,37.0,16.0,,,47.0,58.0,58.0,58.0,0.0,30.0,12.0,,,58.0,5.0,15.0,15.0,0.0,45.0,40.0,,,15.0,0.0,7.0,7.0,0.0,50.0,43.0,,,7.0,17.0,33.0,33.0,0.0,33.0,33.0,,,33.0
100751,52.0,72.0,73.0,0.0,21.0,5.0,0.0,,73.0,35.0,56.0,59.0,1.0,30.0,11.0,0.0,,59.0,56.0,76.0,77.0,0.0,20.0,4.0,0.0,,77.0,15.0,24.0,24.0,0.0,53.0,24.0,0.0,,24.0,30.0,50.0,50.0,0.0,20.0,30.0,0.0,,50.0,8.0,13.0,13.0,0.0,67.0,21.0,0.0,,13.0,61.0,68.0,69.0,0.0,20.0,10.0,0.0,,69.0,56.0,63.0,64.0,0.0,22.0,14.0,0.0,,64.0,65.0,72.0,72.0,0.0,19.0,8.0,0.0,,72.0,37.0,46.0,48.0,1.0,29.0,21.0,0.0,,48.0,41.0,51.0,53.0,3.0,29.0,16.0,0.0,,53.0,36.0,45.0,47.0,1.0,29.0,23.0,0.0,,47.0
100760,30.0,31.0,32.0,0.0,29.0,38.0,3.0,29.0,,23.0,24.0,25.0,0.0,27.0,48.0,3.0,22.0,,42.0,44.0,45.0,0.0,33.0,21.0,4.0,41.0,,12.0,13.0,13.0,0.0,37.0,49.0,2.0,11.0,,10.0,11.0,11.0,1.0,33.0,56.0,2.0,8.0,,16.0,17.0,19.0,0.0,46.0,36.0,3.0,16.0,,27.0,30.0,30.0,0.0,34.0,36.0,3.0,27.0,,23.0,27.0,27.0,0.0,31.0,42.0,4.0,23.0,,39.0,39.0,39.0,0.0,44.0,17.0,0.0,39.0,,13.0,16.0,16.0,0.0,48.0,36.0,5.0,11.0,,16.0,22.0,22.0,0.0,50.0,28.0,3.0,19.0,,12.0,12.0,12.0,0.0,47.0,41.0,6.0,6.0,
100812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,65.0,67.0,1.0,9.0,23.0,1.0,,66.0,58.0,64.0,67.0,2.0,7.0,24.0,1.0,,66.0,63.0,66.0,67.0,1.0,10.0,22.0,0.0,,67.0,41.0,50.0,53.0,2.0,17.0,28.0,1.0,,52.0,38.0,49.0,52.0,2.0,15.0,32.0,1.0,,51.0,43.0,50.0,54.0,2.0,18.0,26.0,1.0,,52.0
100830,9.0,29.0,33.0,2.0,39.0,26.0,0.0,,33.0,5.0,24.0,27.0,1.0,43.0,29.0,0.0,,27.0,15.0,36.0,40.0,2.0,34.0,23.0,0.0,,40.0,1.0,8.0,12.0,5.0,29.0,53.0,0.0,,12.0,0.0,9.0,12.0,9.0,27.0,52.0,0.0,,12.0,3.0,8.0,13.0,3.0,30.0,55.0,0.0,,13.0,41.0,45.0,46.0,1.0,40.0,13.0,0.0,,46.0,33.0,38.0,40.0,1.0,45.0,13.0,0.0,,40.0,48.0,53.0,53.0,0.0,34.0,13.0,0.0,,53.0,38.0,42.0,45.0,0.0,37.0,18.0,0.0,,45.0,33.0,38.0,40.0,0.0,43.0,17.0,0.0,,40.0,40.0,45.0,48.0,0.0,34.0,18.0,0.0,,48.0
100858,51.0,79.0,80.0,0.0,15.0,5.0,0.0,,80.0,39.0,66.0,68.0,1.0,21.0,10.0,0.0,,68.0,53.0,81.0,82.0,0.0,14.0,4.0,0.0,,82.0,14.0,49.0,51.0,0.0,35.0,14.0,0.0,,51.0,0.0,50.0,50.0,0.0,33.0,17.0,0.0,,50.0,16.0,49.0,51.0,0.0,35.0,14.0,0.0,,51.0,65.0,75.0,76.0,1.0,16.0,8.0,0.0,,76.0,57.0,65.0,67.0,1.0,21.0,11.0,0.0,,67.0,68.0,79.0,80.0,0.0,13.0,6.0,0.0,,80.0,42.0,52.0,53.0,1.0,30.0,16.0,0.0,,53.0,43.0,49.0,53.0,0.0,27.0,20.0,0.0,,53.0,41.0,53.0,53.0,2.0,31.0,14.0,0.0,,53.0
