UNITID,GRCOHRT,UGENTERN,PGRCOHRT,RRFTCT,RRFTEX,RRFTIN,RRFTCTA,RET_NMF,RET_PCF,RRPTCT,RRPTEX,RRPTIN,RRPTCTA,RET_NMP,RET_PCP,STUFACR
100654,1547.0,1771.0,87.0,1417.0,0.0,0.0,1417.0,840.0,59.0,60.0,0.0,0.0,60.0,15.0,25.0,19.0
100663,2172.0,3477.0,62.0,2353.0,3.0,0.0,2350.0,1937.0,82.0,54.0,0.0,0.0,54.0,29.0,54.0,18.0
100690,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,12.0
100706,1154.0,1890.0,61.0,1191.0,0.0,0.0,1191.0,955.0,80.0,13.0,0.0,0.0,13.0,4.0,31.0,17.0
100724,938.0,1067.0,88.0,797.0,0.0,0.0,797.0,475.0,60.0,93.0,0.0,0.0,93.0,19.0,20.0,14.0
100751,7981.0,9538.0,84.0,7540.0,1.0,0.0,7539.0,6535.0,87.0,53.0,0.0,0.0,53.0,32.0,60.0,19.0
100760,270.0,917.0,29.0,219.0,0.0,0.0,219.0,136.0,62.0,74.0,0.0,0.0,74.0,26.0,35.0,16.0
100812,,,,,,,,,,,,,,,,14.0
100830,384.0,794.0,48.0,517.0,1.0,0.0,516.0,362.0,70.0,22.0,0.0,0.0,22.0,5.0,23.0,15.0
100858,5282.0,6466.0,82.0,5253.0,5.0,0.0,5248.0,4860.0,93.0,57.0,1.0,0.0,56.0,41.0,73.0,20.0
100937,244.0,271.0,90.0,244.0,0.0,0.0,244.0,189.0,77.0,,,,,,,10.0
101028,191.0,839.0,23.0,172.0,0.0,0.0,172.0,105.0,61.0,99.0,0.0,0.0,99.0,21.0,21.0,15.0
101116,13.0,87.0,15.0,6.0,0.0,0.0,6.0,1.0,17.0,4.0,0.0,0.0,4.0,0.0,0.0,13.0
101143,354.0,1013.0,35.0,340.0,0.0,0.0,340.0,213.0,63.0,76.0,0.0,0.0,76.0,35.0,46.0,17.0
101161,1191.0,3174.0,38.0,1047.0,0.0,0.0,1047.0,645.0,62.0,328.0,0.0,0.0,328.0,137.0,42.0,15.0
101189,206.0,627.0,33.0,209.0,0.0,0.0,209.0,132.0,63.0,6.0,0.0,0.0,6.0,2.0,33.0,13.0
101240,808.0,1919.0,42.0,625.0,0.0,0.0,625.0,407.0,65.0,206.0,0.0,0.0,206.0,85.0,41.0,17.0
101277,,,,39.0,0.0,0.0,39.0,22.0,56.0,,,,,,,7.0
101286,494.0,1454.0,34.0,514.0,0.0,0.0,514.0,333.0,65.0,285.0,0.0,0.0,285.0,129.0,45.0,14.0
101295,947.0,3166.0,30.0,961.0,0.0,0.0,961.0,636.0,66.0,319.0,0.0,0.0,319.0,157.0,49.0,19.0
101301,238.0,1018.0,23.0,219.0,0.0,0.0,219.0,125.0,57.0,50.0,0.0,0.0,50.0,24.0,48.0,15.0
101365,15.0,141.0,11.0,2.0,0.0,0.0,2.0,1.0,50.0,2.0,0.0,0.0,2.0,1.0,50.0,14.0
101435,258.0,297.0,87.0,250.0,0.0,0.0,250.0,162.0,65.0,0.0,0.0,0.0,0.0,0.0,,14.0
101453,3.0,21.0,14.0,3.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,,8.0
101462,68.0,500.0,14.0,57.0,0.0,0.0,57.0,27.0,47.0,52.0,0.0,0.0,52.0,12.0,23.0,12.0
101471,392.0,532.0,74.0,178.0,0.0,0.0,178.0,116.0,65.0,67.0,0.0,0.0,67.0,35.0,52.0,11.0
101480,1911.0,3203.0,60.0,1782.0,0.0,0.0,1782.0,1170.0,66.0,36.0,0.0,0.0,36.0,10.0,28.0,19.0
101505,770.0,4088.0,19.0,854.0,0.0,0.0,854.0,518.0,61.0,599.0,0.0,0.0,599.0,228.0,38.0,18.0
101514,997.0,3199.0,31.0,886.0,0.0,0.0,886.0,570.0,64.0,738.0,0.0,0.0,738.0,316.0,43.0,20.0
101569,422.0,1276.0,33.0,426.0,0.0,0.0,426.0,257.0,60.0,244.0,0.0,0.0,244.0,77.0,32.0,16.0
101587,300.0,790.0,38.0,301.0,0.0,0.0,301.0,208.0,69.0,3.0,0.0,1.0,4.0,1.0,25.0,18.0
101602,369.0,1287.0,29.0,383.0,0.0,0.0,383.0,244.0,64.0,47.0,0.0,0.0,47.0,20.0,43.0,16.0
101648,195.0,212.0,92.0,179.0,0.0,0.0,179.0,73.0,41.0,,,,,,,11.0
101675,296.0,414.0,71.0,380.0,0.0,0.0,380.0,218.0,57.0,4.0,0.0,0.0,4.0,2.0,50.0,14.0
101693,272.0,655.0,42.0,250.0,0.0,0.0,250.0,170.0,68.0,3.0,0.0,0.0,3.0,3.0,100.0,14.0
101709,540.0,709.0,76.0,478.0,0.0,0.0,478.0,350.0,73.0,15.0,0.0,0.0,15.0,4.0,27.0,12.0
101736,440.0,2189.0,20.0,408.0,0.0,0.0,408.0,261.0,64.0,183.0,0.0,0.0,183.0,82.0,45.0,16.0
101879,1106.0,3297.0,34.0,985.0,0.0,0.0,985.0,752.0,76.0,28.0,0.0,0.0,28.0,8.0,29.0,18.0
101897,430.0,1127.0,38.0,352.0,0.0,0.0,352.0,256.0,73.0,98.0,0.0,0.0,98.0,57.0,58.0,17.0
101912,374.0,454.0,82.0,279.0,0.0,0.0,279.0,215.0,77.0,4.0,0.0,0.0,4.0,2.0,50.0,11.0
101994,75.0,231.0,32.0,73.0,0.0,0.0,73.0,53.0,73.0,5.0,0.0,0.0,5.0,2.0,40.0,14.0
102030,410.0,1462.0,28.0,342.0,0.0,0.0,342.0,209.0,61.0,132.0,0.0,0.0,132.0,44.0,33.0,18.0
102049,972.0,1065.0,91.0,918.0,0.0,0.0,918.0,835.0,91.0,2.0,0.0,0.0,2.0,1.0,50.0,14.0
102058,,,,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,3.0,2.0,67.0,4.0
