UNITID,BAREVCT,BAEXCLU,BAAC150,BANC100,BAGR100,BANC150,BAGR150,BAAEXCL,BAAC200,BANC200A,BASTEND,BANC200,BAGR200,L4REVCT,L4EXCLU,L4AC150,L4NC100,L4GR100,L4NC150,L4GR150,L4AEXCL,L4AC200,L4NC200A,L4STEND,L4NC200,L4GR200
100654,1001.0,3.0,998.0,105.0,11.0,286.0,29.0,0.0,998.0,33.0,21.0,319.0,32.0,,,,,,,,,,,,,
100663,1718.0,4.0,1714.0,654.0,38.0,1048.0,61.0,1.0,1713.0,40.0,15.0,1088.0,64.0,,,,,,,,,,,,,
100690,4.0,0.0,4.0,1.0,25.0,1.0,25.0,0.0,4.0,0.0,0.0,1.0,25.0,,,,,,,,,,,,,
100706,714.0,0.0,714.0,222.0,31.0,408.0,57.0,0.0,714.0,30.0,12.0,438.0,61.0,,,,,,,,,,,,,
100724,1067.0,0.0,1067.0,156.0,15.0,339.0,32.0,0.0,1067.0,31.0,5.0,370.0,35.0,,,,,,,,,,,,,
100751,6794.0,3.0,6791.0,3552.0,52.0,4899.0,72.0,0.0,6791.0,79.0,30.0,4978.0,73.0,,,,,,,,,,,,,
100760,,,,,,,,,,,,,,315.0,0.0,315.0,43.0,14.0,69.0,22.0,0.0,315.0,16.0,5.0,85.0,27.0
100830,557.0,1.0,556.0,53.0,10.0,169.0,30.0,0.0,556.0,20.0,11.0,189.0,34.0,,,,,,,,,,,,,
100858,4552.0,3.0,4549.0,2325.0,51.0,3580.0,79.0,0.0,4549.0,66.0,20.0,3646.0,80.0,,,,,,,,,,,,,
100937,352.0,1.0,351.0,228.0,65.0,249.0,71.0,0.0,351.0,0.0,0.0,249.0,71.0,,,,,,,,,,,,,
101028,,,,,,,,,,,,,,329.0,0.0,329.0,29.0,9.0,52.0,16.0,0.0,329.0,4.0,18.0,56.0,17.0
101116,17.0,0.0,17.0,2.0,12.0,3.0,18.0,0.0,17.0,0.0,0.0,3.0,18.0,,,,,,,,,,,,,
101143,,,,,,,,,,,,,,317.0,0.0,317.0,58.0,18.0,95.0,30.0,0.0,317.0,17.0,6.0,112.0,35.0
101161,,,,,,,,,,,,,,1441.0,0.0,1441.0,266.0,18.0,362.0,25.0,0.0,1441.0,28.0,27.0,390.0,27.0
101189,373.0,3.0,370.0,59.0,16.0,101.0,27.0,0.0,370.0,3.0,2.0,104.0,28.0,,,,,,,,,,,,,
101240,,,,,,,,,,,,,,865.0,0.0,865.0,165.0,19.0,234.0,27.0,0.0,865.0,55.0,71.0,289.0,33.0
101277,,,,,,,,,,,,,,30.0,0.0,30.0,4.0,13.0,22.0,73.0,0.0,30.0,0.0,0.0,22.0,73.0
101286,,,,,,,,,,,,,,659.0,0.0,659.0,100.0,15.0,172.0,26.0,0.0,659.0,45.0,0.0,217.0,33.0
101295,,,,,,,,,,,,,,934.0,0.0,934.0,303.0,32.0,416.0,45.0,0.0,934.0,24.0,24.0,440.0,47.0
101301,,,,,,,,,,,,,,279.0,1.0,278.0,60.0,22.0,98.0,35.0,0.0,278.0,13.0,12.0,111.0,40.0
101365,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
101435,227.0,0.0,227.0,74.0,33.0,95.0,42.0,0.0,227.0,0.0,0.0,95.0,42.0,,,,,,,,,,,,,
101453,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
101462,,,,,,,,,,,,,,74.0,0.0,74.0,7.0,9.0,10.0,14.0,0.0,74.0,0.0,1.0,10.0,14.0
101471,,,,,,,,,,,,,,203.0,0.0,203.0,16.0,8.0,44.0,22.0,0.0,203.0,0.0,0.0,44.0,22.0
101480,1169.0,0.0,1169.0,252.0,22.0,532.0,46.0,0.0,1169.0,39.0,29.0,571.0,49.0,,,,,,,,,,,,,
101505,,,,,,,,,,,,,,1029.0,0.0,1029.0,83.0,8.0,220.0,21.0,0.0,1029.0,53.0,135.0,273.0,27.0
101514,,,,,,,,,,,,,,1182.0,0.0,1182.0,219.0,19.0,379.0,32.0,0.0,1182.0,92.0,56.0,471.0,40.0
101569,,,,,,,,,,,,,,678.0,2.0,676.0,95.0,14.0,167.0,25.0,0.0,676.0,27.0,35.0,194.0,29.0
101587,310.0,0.0,310.0,100.0,32.0,130.0,42.0,0.0,310.0,22.0,1.0,152.0,49.0,,,,,,,,,,,,,
101602,,,,,,,,,,,,,,431.0,0.0,431.0,108.0,25.0,178.0,41.0,0.0,431.0,79.0,0.0,257.0,60.0
101648,,,,,,,,,,,,,,230.0,0.0,230.0,77.0,33.0,80.0,35.0,0.0,230.0,0.0,0.0,80.0,35.0
101675,485.0,0.0,485.0,69.0,14.0,114.0,24.0,0.0,485.0,9.0,4.0,123.0,25.0,,,,,,,,,,,,,
101693,273.0,2.0,271.0,88.0,32.0,131.0,48.0,1.0,270.0,3.0,7.0,134.0,50.0,,,,,,,,,,,,,
101709,530.0,0.0,530.0,185.0,35.0,287.0,54.0,0.0,530.0,6.0,1.0,293.0,55.0,,,,,,,,,,,,,
101736,,,,,,,,,,,,,,639.0,0.0,639.0,93.0,15.0,166.0,26.0,0.0,639.0,43.0,43.0,209.0,33.0
101879,931.0,0.0,931.0,247.0,27.0,465.0,50.0,0.0,931.0,28.0,14.0,493.0,53.0,,,,,,,,,,,,,
101897,,,,,,,,,,,,,,474.0,0.0,474.0,171.0,36.0,239.0,50.0,0.0,474.0,26.0,12.0,265.0,56.0
101912,367.0,0.0,367.0,100.0,27.0,183.0,50.0,0.0,367.0,4.0,3.0,187.0,51.0,,,,,,,,,,,,,
101994,,,,,,,,,,,,,,78.0,0.0,78.0,15.0,19.0,21.0,27.0,0.0,78.0,3.0,0.0,24.0,31.0
102030,,,,,,,,,,,,,,624.0,0.0,624.0,133.0,21.0,172.0,28.0,0.0,624.0,9.0,6.0,181.0,29.0
102049,728.0,0.0,728.0,481.0,66.0,562.0,77.0,0.0,728.0,11.0,0.0,573.0,79.0,,,,,,,,,,,,,
102067,,,,,,,,,,,,,,757.0,0.0,757.0,120.0,16.0,208.0,27.0,0.0,757.0,36.0,46.0,244.0,32.0
102076,,,,,,,,,,,,,,449.0,0.0,449.0,122.0,27.0,208.0,46.0,0.0,449.0,11.0,13.0,219.0,49.0
102094,2030.0,0.0,2030.0,537.0,26.0,908.0,45.0,0.0,2030.0,49.0,28.0,957.0,47.0,,,,,,,,,,,,,
102234,362.0,0.0,362.0,165.0,46.0,206.0,57.0,0.0,362.0,5.0,1.0,211.0,58.0,,,,,,,,,,,,,
102270,265.0,0.0,265.0,26.0,10.0,56.0,21.0,0.0,265.0,0.0,0.0,56.0,21.0,,,,,,,,,,,,,
102298,225.0,0.0,225.0,26.0,12.0,58.0,26.0,0.0,225.0,2.0,0.0,60.0,27.0,,,,,,,,,,,,,
102313,,,,,,,,,,,,,,265.0,0.0,265.0,24.0,9.0,61.0,23.0,0.0,265.0,18.0,11.0,79.0,30.0
102368,1457.0,3.0,1454.0,386.0,27.0,726.0,50.0,0.0,1454.0,32.0,10.0,758.0,52.0,,,,,,,,,,,,,
102377,634.0,0.0,634.0,177.0,28.0,329.0,52.0,0.0,634.0,2.0,4.0,331.0,52.0,,,,,,,,,,,,,
102429,,,,,,,,,,,,,,606.0,3.0,603.0,137.0,23.0,222.0,37.0,0.0,603.0,19.0,29.0,241.0,40.0
102553,998.0,0.0,998.0,127.0,13.0,314.0,31.0,0.0,998.0,43.0,30.0,357.0,36.0,,,,,,,,,,,,,
102614,484.0,0.0,484.0,105.0,22.0,208.0,43.0,0.0,484.0,19.0,8.0,227.0,47.0,,,,,,,,,,,,,
102632,84.0,0.0,84.0,6.0,7.0,12.0,14.0,0.0,84.0,3.0,5.0,15.0,18.0,,,,,,,,,,,,,
102669,18.0,0.0,18.0,9.0,50.0,10.0,56.0,0.0,18.0,0.0,0.0,10.0,56.0,,,,,,,,,,,,,
102711,,,,,,,,,,,,,,135.0,0.0,135.0,123.0,91.0,128.0,95.0,0.0,135.0,0.0,0.0,128.0,95.0
103501,,,,,,,,,,,,,,311.0,0.0,311.0,230.0,74.0,230.0,74.0,0.0,311.0,0.0,0.0,230.0,74.0
103741,,,,,,,,,,,,,,56.0,0.0,56.0,0.0,0.0,34.0,61.0,0.0,56.0,0.0,0.0,34.0,61.0
103893,,,,,,,,,,,,,,308.0,0.0,308.0,161.0,52.0,197.0,64.0,0.0,308.0,10.0,7.0,207.0,67.0
103909,,,,,,,,,,,,,,199.0,0.0,199.0,78.0,39.0,112.0,56.0,0.0,199.0,11.0,5.0,123.0,62.0
103927,,,,,,,,,,,,,,158.0,1.0,157.0,92.0,59.0,108.0,69.0,0.0,157.0,7.0,4.0,115.0,73.0
103954,,,,,,,,,,,,,,13.0,0.0,13.0,7.0,54.0,7.0,54.0,0.0,13.0,0.0,0.0,7.0,54.0
103963,,,,,,,,,,,,,,537.0,0.0,537.0,221.0,41.0,261.0,49.0,0.0,537.0,4.0,0.0,265.0,49.0
