UNITID,GRCHRTYR,GRTOTLT,GRGNDRUN,GRGNDRAN,GRGNDRUA,GRGNDRKN
100654,1,1407,0.0,,0.0,1407.0
100663,1,1948,0.0,,0.0,1948.0
100690,1,2,0.0,0.0,0.0,2.0
100706,1,1193,0.0,,0.0,1193.0
100724,1,1143,0.0,0.0,0.0,1143.0
100751,1,7541,0.0,,0.0,7541.0
100830,1,558,0.0,0.0,0.0,558.0
100858,1,4487,0.0,,0.0,4487.0
100937,1,328,0.0,,0.0,328.0
101116,1,22,0.0,,0.0,22.0
101189,1,297,0.0,,0.0,297.0
101365,1,10,0.0,,0.0,10.0
101435,1,277,0.0,,0.0,277.0
101453,1,1,0.0,0.0,0.0,1.0
101480,1,1294,0.0,,0.0,1294.0
101587,1,377,0.0,0.0,0.0,377.0
101675,1,428,0.0,,0.0,428.0
101693,1,223,0.0,,0.0,223.0
101709,1,473,0.0,,0.0,473.0
101879,1,1176,0.0,,0.0,1176.0
101912,1,390,0.0,,0.0,390.0
102049,1,916,0.0,0.0,0.0,916.0
102094,1,1955,0.0,,0.0,1955.0
102234,1,385,0.0,,0.0,385.0
102270,1,125,0.0,0.0,0.0,125.0
102298,1,136,0.0,,0.0,136.0
102368,1,1830,0.0,,0.0,1830.0
102377,1,654,0.0,,0.0,654.0
102553,1,1322,1.0,,1.0,1321.0
102580,1,4,0.0,,0.0,4.0
102614,1,670,1.0,,1.0,669.0
102632,1,118,0.0,,0.0,118.0
102669,1,39,0.0,0.0,0.0,39.0
102845,1,1493,105.0,,105.0,1388.0
104090,1,190,0.0,,0.0,190.0
104151,1,11435,0.0,0.0,0.0,11435.0
104179,1,5997,0.0,,0.0,5997.0
104586,1,599,0.0,,0.0,599.0
104717,1,2353,2.0,,2.0,2351.0
105297,1,116,0.0,,0.0,116.0
105330,1,5010,0.0,,0.0,5010.0
105534,1,697,1.0,,1.0,696.0
105589,1,47,0.0,,0.0,47.0
105899,1,128,0.0,,0.0,128.0
106245,1,768,0.0,,0.0,768.0
106306,1,266,0.0,,0.0,266.0
106342,1,201,0.0,0.0,0.0,201.0
106397,1,4938,0.0,,0.0,4938.0
106412,1,763,0.0,0.0,0.0,763.0
106458,1,1609,0.0,,0.0,1609.0
106467,1,1819,0.0,,0.0,1819.0
106485,1,489,0.0,0.0,0.0,489.0
106704,1,1867,0.0,,0.0,1867.0
106713,1,125,0.0,,0.0,125.0
106810,1,84,0.0,,0.0,84.0
107044,1,1013,0.0,,0.0,1013.0
107071,1,742,0.0,0.0,0.0,742.0
107080,1,352,0.0,0.0,0.0,352.0
107141,1,323,0.0,,0.0,323.0
107512,1,395,0.0,,0.0,395.0
107558,1,189,0.0,,0.0,189.0
107600,1,279,0.0,0.0,0.0,279.0
107877,1,109,0.0,,0.0,109.0
107983,1,845,1.0,0.0,1.0,844.0
108092,1,941,0.0,,0.0,941.0
108232,1,618,0.0,0.0,0.0,618.0
109350,1,1100,15.0,0.0,15.0,1085.0
109651,1,216,0.0,0.0,0.0,216.0
109785,1,1131,0.0,0.0,0.0,1131.0
109819,1,1984,67.0,0.0,67.0,1917.0
110060,1,23,0.0,,0.0,23.0
110097,1,863,0.0,,0.0,863.0
110219,1,362,0.0,,0.0,362.0
110361,1,1117,0.0,0.0,0.0,1117.0
110370,1,255,0.0,,0.0,255.0
110404,1,235,0.0,,0.0,235.0
110413,1,638,0.0,,0.0,638.0
110422,1,4321,0.0,,0.0,4321.0
110486,1,1290,0.0,,0.0,1290.0
110495,1,1330,0.0,,0.0,1330.0
110510,1,2736,0.0,,0.0,2736.0
110529,1,4079,0.0,,0.0,4079.0
110538,1,2725,0.0,,0.0,2725.0
110547,1,1257,0.0,,0.0,1257.0
110556,1,3208,0.0,,0.0,3208.0
110565,1,4274,0.0,,0.0,4274.0
110574,1,1584,0.0,,0.0,1584.0
110583,1,4143,0.0,,0.0,4143.0
110592,1,3675,0.0,,0.0,3675.0
110608,1,4422,0.0,,0.0,4422.0
110617,1,3680,0.0,,0.0,3680.0
110635,1,6199,195.0,,195.0,6004.0
110644,1,5699,10.0,0.0,10.0,5689.0
110653,1,6541,165.0,24.0,189.0,6352.0
110662,1,6535,0.0,,0.0,6535.0
110671,1,5345,0.0,,0.0,5345.0
110680,1,5714,35.0,0.0,35.0,5679.0
110705,1,4982,0.0,20.0,20.0,4962.0
110714,1,4204,0.0,,0.0,4204.0
110918,1,1,0.0,,0.0,1.0
111081,1,199,0.0,,0.0,199.0
111188,1,236,0.0,,0.0,236.0
111638,1,79,0.0,,0.0,79.0
111948,1,1511,0.0,,0.0,1511.0
112075,1,406,0.0,,0.0,406.0
112084,1,49,0.0,,0.0,49.0
112260,1,321,0.0,0.0,0.0,321.0
112394,1,105,0.0,,0.0,105.0
112570,1,117,0.0,0.0,0.0,117.0
113236,1,1200,29.0,0.0,29.0,1171.0
113582,1,4,0.0,,0.0,4.0
113616,1,1,0.0,,0.0,1.0
113698,1,261,0.0,,0.0,261.0
114123,1,51,0.0,,0.0,51.0
114354,1,340,0.0,,0.0,340.0
114433,1,170,2.0,0.0,2.0,168.0
114716,1,930,8.0,0.0,8.0,922.0
114813,1,211,0.0,0.0,0.0,211.0
115010,1,430,0.0,0.0,0.0,430.0
115409,1,213,0.0,,0.0,213.0
115728,1,95,0.0,,0.0,95.0
115755,1,1282,0.0,,0.0,1282.0
115773,1,8,0.0,,0.0,8.0
116226,1,1,0.0,0.0,0.0,1.0
116846,1,4,0.0,,0.0,4.0
117104,1,60,0.0,,0.0,60.0
117140,1,557,0.0,,0.0,557.0
117168,1,84,0.0,,0.0,84.0
117283,1,19,0.0,0.0,0.0,19.0
117557,1,16,0.0,,0.0,16.0
117575,1,1,0.0,,0.0,1.0
117627,1,286,0.0,0.0,0.0,286.0
117672,1,2,0.0,,0.0,2.0
117751,1,172,0.0,,0.0,172.0
117946,1,1328,0.0,,0.0,1328.0
118693,1,151,0.0,,0.0,151.0
118912,1,1192,6.0,,6.0,1186.0
118976,1,1464,18.0,0.0,18.0,1446.0
119173,1,542,0.0,,0.0,542.0
119270,1,220,0.0,,0.0,220.0
119605,1,9,0.0,0.0,0.0,9.0
119775,1,36,0.0,,0.0,36.0
120184,1,156,0.0,,0.0,156.0
120254,1,502,0.0,,0.0,502.0
120403,1,203,0.0,0.0,0.0,203.0
120537,1,98,0.0,0.0,0.0,98.0
120838,1,7,0.0,,0.0,7.0
120865,1,251,0.0,,0.0,251.0
120883,1,723,0.0,,0.0,723.0
121150,1,743,0.0,,0.0,743.0
121257,1,268,0.0,,0.0,268.0
121275,1,30,0.0,,0.0,30.0
121309,1,594,0.0,,0.0,594.0
121345,1,411,0.0,,0.0,411.0
121619,1,1679,9.0,0.0,9.0,1670.0
121691,1,584,0.0,0.0,0.0,584.0
121886,1,963,14.0,0.0,14.0,949.0
122375,1,1329,0.0,0.0,0.0,1329.0
122409,1,4812,0.0,,0.0,4812.0
122436,1,1133,0.0,,0.0,1133.0
122506,1,54,0.0,,0.0,54.0
122597,1,3531,0.0,,0.0,3531.0
122612,1,1584,0.0,,0.0,1584.0
122685,1,778,0.0,,0.0,778.0
122728,1,199,0.0,,0.0,199.0
122755,1,3065,0.0,,0.0,3065.0
122931,1,1316,0.0,,0.0,1316.0
122977,1,3255,0.0,0.0,0.0,3255.0
123165,1,270,0.0,,0.0,270.0
123280,1,4,0.0,,0.0,4.0
123299,1,556,2.0,0.0,2.0,554.0
123457,1,116,0.0,,0.0,116.0
123509,1,521,18.0,0.0,18.0,503.0
123554,1,562,0.0,,0.0,562.0
123563,1,717,19.0,0.0,19.0,698.0
123572,1,1774,0.0,,0.0,1774.0
123651,1,410,0.0,,0.0,410.0
123952,1,21,0.0,0.0,0.0,21.0
123961,1,3064,0.0,,0.0,3064.0
124292,1,87,0.0,,0.0,87.0
124487,1,3,0.0,0.0,0.0,3.0
125471,1,500,0.0,0.0,0.0,500.0
125727,1,348,0.0,,0.0,348.0
125763,1,424,0.0,,0.0,424.0
125897,1,135,0.0,,0.0,135.0
126076,1,50,0.0,,0.0,50.0
126182,1,450,2.0,0.0,2.0,448.0
126289,1,405,0.0,,0.0,405.0
126562,1,1368,0.0,,0.0,1368.0
126580,1,1958,0.0,,0.0,1958.0
126614,1,6378,5.0,2.0,7.0,6371.0
126669,1,421,0.0,,0.0,421.0
126678,1,533,0.0,,0.0,533.0
126687,1,428,0.0,,0.0,428.0
126711,1,349,0.0,,0.0,349.0
126775,1,974,0.0,0.0,0.0,974.0
126818,1,4851,4.0,0.0,4.0,4847.0
126827,1,729,172.0,,172.0,557.0
126942,1,430,0.0,,0.0,430.0
127060,1,1377,0.0,0.0,0.0,1377.0
127185,1,767,0.0,0.0,0.0,767.0
127200,1,1099,0.0,,0.0,1099.0
127556,1,1906,0.0,,0.0,1906.0
127565,1,1875,0.0,9.0,9.0,1866.0
127617,1,95,0.0,0.0,0.0,95.0
127653,1,29,2.0,,2.0,27.0
127714,1,3,0.0,,0.0,3.0
127741,1,2145,1.0,,1.0,2144.0
127820,1,1052,0.0,,0.0,1052.0
127884,1,233,0.0,,0.0,233.0
127909,1,558,1.0,,1.0,557.0
127918,1,486,0.0,,0.0,486.0
127945,1,44,0.0,0.0,0.0,44.0
127954,1,6,0.0,0.0,0.0,6.0
128106,1,816,0.0,0.0,0.0,816.0
128258,1,228,0.0,0.0,0.0,228.0
128328,1,1103,0.0,,0.0,1103.0
128391,1,464,5.0,,5.0,459.0
128498,1,129,0.0,0.0,0.0,129.0
128586,1,14,0.0,,0.0,14.0
128744,1,482,0.0,,0.0,482.0
128771,1,1258,0.0,,0.0,1258.0
128780,1,1,0.0,,0.0,1.0
128902,1,472,0.0,,0.0,472.0
129020,1,3808,0.0,,0.0,3808.0
129154,1,61,0.0,0.0,0.0,61.0
129215,1,995,0.0,,0.0,995.0
129242,1,1056,0.0,,0.0,1056.0
129525,1,1296,0.0,0.0,0.0,1296.0
129774,1,119,0.0,0.0,0.0,119.0
129941,1,1117,0.0,,0.0,1117.0
130110,1,7,0.0,,0.0,7.0
130183,1,168,0.0,,0.0,168.0
130226,1,1900,0.0,0.0,0.0,1900.0
130253,1,1322,0.0,,0.0,1322.0
130314,1,125,0.0,,0.0,125.0
130493,1,1371,0.0,,0.0,1371.0
130590,1,572,0.0,,0.0,572.0
130624,1,297,0.0,0.0,0.0,297.0
130697,1,774,0.0,,0.0,774.0
130776,1,824,0.0,,0.0,824.0
130794,1,1367,1.0,,1.0,1366.0
130907,1,2094,0.0,,0.0,2094.0
130934,1,941,0.0,,0.0,941.0
130943,1,4360,1.0,,1.0,4359.0
130989,1,158,0.0,,0.0,158.0
131113,1,276,6.0,,6.0,270.0
131159,1,1677,70.0,0.0,70.0,1607.0
131283,1,723,0.0,,0.0,723.0
131399,1,239,6.0,,6.0,233.0
131450,1,245,0.0,,0.0,245.0
131469,1,2517,0.0,,0.0,2517.0
131496,1,1573,0.0,,0.0,1573.0
131520,1,900,0.0,,0.0,900.0
131803,1,11,0.0,,0.0,11.0
131876,1,221,0.0,,0.0,221.0
132408,1,32,0.0,,0.0,32.0
132471,1,479,0.0,,0.0,479.0
132602,1,1161,0.0,,0.0,1161.0
132657,1,555,0.0,,0.0,555.0
132693,1,1495,0.0,,0.0,1495.0
132709,1,3676,0.0,,0.0,3676.0
132842,1,6,0.0,,0.0,6.0
132851,1,877,0.0,,0.0,877.0
132879,1,35,0.0,,0.0,35.0
132903,1,6146,1.0,0.0,1.0,6145.0
133021,1,355,0.0,,0.0,355.0
133386,1,383,0.0,,0.0,383.0
133465,1,23,0.0,,0.0,23.0
133492,1,574,0.0,,0.0,574.0
133508,1,1661,0.0,,0.0,1661.0
133526,1,231,0.0,0.0,0.0,231.0
133553,1,1255,0.0,,0.0,1255.0
133650,1,1271,0.0,0.0,0.0,1271.0
133669,1,3016,0.0,,0.0,3016.0
133702,1,1570,0.0,,0.0,1570.0
133711,1,600,0.0,,0.0,600.0
133809,1,176,0.0,,0.0,176.0
133872,1,64,0.0,,0.0,64.0
133881,1,757,0.0,0.0,0.0,757.0
133951,1,4157,0.0,,0.0,4157.0
133960,1,134,0.0,,0.0,134.0
133979,1,377,0.0,,0.0,377.0
134079,1,643,0.0,0.0,0.0,643.0
134097,1,6201,0.0,0.0,0.0,6201.0
134130,1,6809,0.0,,0.0,6809.0
134237,1,5624,0.0,15.0,15.0,5609.0
134343,1,586,0.0,,0.0,586.0
134495,1,3338,0.0,0.0,0.0,3338.0
134510,1,33,0.0,,0.0,33.0
134608,1,1509,0.0,,0.0,1509.0
134811,1,448,0.0,0.0,0.0,448.0
134945,1,544,0.0,,0.0,544.0
135081,1,611,0.0,,0.0,611.0
135160,1,330,0.0,,0.0,330.0
135188,1,542,0.0,,0.0,542.0
135364,1,2,0.0,0.0,0.0,2.0
135391,1,1170,0.0,,0.0,1170.0
135717,1,7605,0.0,,0.0,7605.0
135726,1,2042,0.0,,0.0,2042.0
136145,1,157,0.0,,0.0,157.0
136172,1,1864,0.0,,0.0,1864.0
136215,1,647,0.0,,0.0,647.0
136233,1,522,0.0,,0.0,522.0
136330,1,501,0.0,0.0,0.0,501.0
136358,1,2172,0.0,,0.0,2172.0
136400,1,1466,0.0,,0.0,1466.0
136473,1,981,0.0,,0.0,981.0
136516,1,825,0.0,,0.0,825.0
136774,1,355,0.0,,0.0,355.0
