UNITID,SCFA1N,SCFA1P,SCFA11N,SCFA11P,SCFA12N,SCFA12P,SCFA13N,SCFA13P,SCFA14N,SCFA14P,SCFA2,SCFY1N,SCFY1P,SCFY2,ANYAIDN,ANYAIDP,FGRNT_N,FGRNT_P,FGRNT_A,SGRNT_N,SGRNT_P,SGRNT_A,IGRNT_N,IGRNT_P,IGRNT_A,LOAN_N,LOAN_P,LOAN_A,SCUGFFN,SCUGRAD,UAGRNTT,UPGRNTN,AGRNT_N,AGRNT_P,AGRNT_A,PGRNT_N,PGRNT_P,PGRNT_A,OFGRT_N,OFGRT_P,OFGRT_A,FLOAN_N,FLOAN_P,FLOAN_A,OLOAN_N,OLOAN_P,OLOAN_A,UAGRNTN,UAGRNTP,UAGRNTA,UPGRNTP,UPGRNTT,UPGRNTA,UFLOANN,UFLOANP,UFLOANT,UFLOANA,AGRNT_T,FGRNT_T,PGRNT_T,OFGRT_T,SGRNT_T,IGRNT_T,LOAN_T,FLOAN_T,OLOAN_T,AIDFSIN,AIDFSIP,SCUGDGSK,SCUGNDGS,SCFA2DG,SCFY2DG,SCFY2ND,UDGAGRNTN,UDGAGRNTP,UDGAGRNTT,UDGAGRNTA,UNDAGRNTN,UNDAGRNTP,UNDAGRNTT,UNDAGRNTA,UDGPGRNTP,UDGFLOANP
100654,1417.0,28.0,0.0,0.0,712.0,50.0,705.0,50.0,0.0,0.0,5107.0,,,,1229.0,87.0,955.0,67.0,5816.0,36.0,3.0,1989.0,822.0,58.0,7617.0,717.0,51.0,6150.0,1417,5107,45844761.0,3338,1181.0,83.0,10066.0,955.0,67.0,5639.0,85.0,6.0,1993.0,714.0,50.0,5855.0,13.0,1.0,17632.0,4246,83,10797.0,65,18422240.0,5519.0,2733,54,18178556.0,6652.0,11887502.0,5554675.0,5385284.0,169391.0,71606.0,6261221.0,4409594.0,4180380.0,229214.0,1229.0,87.0,5094,13,5094.0,,,4246,83,45844761.0,10797.0,0,0,0.0,,66.0,54.0
100663,2361.0,17.0,0.0,0.0,1958.0,83.0,403.0,17.0,0.0,0.0,13547.0,,,,2268.0,96.0,907.0,38.0,6173.0,105.0,4.0,943.0,1959.0,83.0,9548.0,1158.0,49.0,6382.0,2361,13547,99459929.0,4482,2190.0,93.0,11142.0,904.0,38.0,5911.0,204.0,9.0,1250.0,1138.0,48.0,5142.0,115.0,5.0,13374.0,10058,74,9889.0,33,26566130.0,5927.0,5598,41,38997810.0,6966.0,24401620.0,5598707.0,5343746.0,254961.0,99016.0,18703897.0,7389887.0,5851864.0,1538023.0,2260.0,96.0,13284,263,13284.0,,,9986,75,99209206.0,9935.0,72,27,250723.0,3482.0,34.0,42.0
100690,0.0,0.0,,,,,,,,,251.0,,,,,,,,,,,,,,,,,,0,251,865108.0,195,,,,,,,,,,,,,,,,208,83,4159.0,78,350244.0,1796.0,148,59,76713.0,518.0,,,,,,,,,,,,251,0,251.0,,,208,83,865108.0,4159.0,0,0,0.0,,78.0,59.0
100706,1191.0,16.0,0.0,0.0,1006.0,84.0,185.0,16.0,0.0,0.0,7569.0,,,,1139.0,96.0,241.0,20.0,5395.0,18.0,2.0,3252.0,1050.0,88.0,8014.0,481.0,40.0,7054.0,1191,7569,52823954.0,1645,1088.0,91.0,8983.0,241.0,20.0,4949.0,59.0,5.0,1823.0,466.0,39.0,5091.0,70.0,6.0,14582.0,5324,70,9922.0,22,7351738.0,4469.0,2584,34,16796813.0,6500.0,9773641.0,1300222.0,1192674.0,107548.0,58531.0,8414888.0,3392964.0,2372192.0,1020772.0,1126.0,95.0,7360,209,7360.0,,,5166,70,52158772.0,10097.0,158,76,665182.0,4210.0,22.0,35.0
100724,797.0,23.0,0.0,0.0,210.0,26.0,587.0,74.0,0.0,0.0,3499.0,,,,776.0,97.0,624.0,78.0,6003.0,44.0,6.0,5072.0,559.0,70.0,6804.0,665.0,83.0,6319.0,797,3499,33971848.0,2441,775.0,97.0,10029.0,624.0,78.0,5558.0,145.0,18.0,1915.0,661.0,83.0,5754.0,47.0,6.0,8477.0,3235,92,10501.0,70,12132284.0,4970.0,2684,77,20872889.0,7777.0,7772370.0,3745652.0,3468019.0,277633.0,223153.0,3803565.0,4201966.0,3803565.0,398401.0,775.0,97.0,3495,4,3495.0,,,3235,93,33971848.0,10501.0,0,0,0.0,,70.0,77.0
100751,7540.0,24.0,0.0,0.0,2956.0,39.0,4584.0,61.0,0.0,0.0,31685.0,,,,6571.0,87.0,3407.0,45.0,3781.0,264.0,4.0,932.0,5383.0,71.0,15493.0,2906.0,39.0,10694.0,7540,31685,332379978.0,5664,6155.0,82.0,15683.0,1445.0,19.0,5145.0,3086.0,41.0,1766.0,2698.0,36.0,5192.0,670.0,9.0,25477.0,23048,73,14421.0,18,27876172.0,4922.0,10736,34,66963842.0,6237.0,96526426.0,12883362.0,7433922.0,5449440.0,246000.0,83397064.0,31077606.0,14007789.0,17069817.0,6535.0,87.0,30725,960,30725.0,,,22689,74,331680795.0,14619.0,359,37,699183.0,1948.0,18.0,35.0
100760,219.0,14.0,0.0,0.0,214.0,98.0,5.0,2.0,0.0,0.0,1578.0,,,,191.0,87.0,115.0,53.0,5538.0,8.0,4.0,533.0,84.0,38.0,5753.0,48.0,22.0,3243.0,219,1578,3681127.0,471,168.0,77.0,6693.0,115.0,53.0,5344.0,50.0,23.0,445.0,48.0,22.0,3243.0,0.0,0.0,,1058,67,3479.0,30,1920895.0,4078.0,238,15,843837.0,3546.0,1124348.0,636855.0,614605.0,22250.0,4261.0,483232.0,155673.0,155673.0,0.0,181.0,83.0,940,638,940.0,,,624,66,3136495.0,5026.0,434,68,544632.0,1255.0,50.0,25.0
100812,0.0,0.0,,,,,,,,,2559.0,,,,,,,,,,,,,,,,,,0,2559,9637358.0,1056,,,,,,,,,,,,,,,,2529,99,3811.0,41,5711751.0,5409.0,1102,43,8535084.0,7745.0,,,,,,,,,,,,2511,48,2511.0,,,2484,99,9627570.0,3876.0,45,94,9788.0,218.0,42.0,44.0
100830,517.0,13.0,0.0,0.0,475.0,92.0,42.0,8.0,0.0,0.0,4086.0,,,,512.0,99.0,287.0,56.0,5522.0,22.0,4.0,764.0,498.0,96.0,3886.0,260.0,50.0,5505.0,517,4086,28676369.0,1875,510.0,99.0,6935.0,286.0,55.0,5415.0,44.0,9.0,822.0,260.0,50.0,5505.0,0.0,0.0,,3159,77,9078.0,46,10139982.0,5408.0,1994,49,13517105.0,6779.0,3537041.0,1584791.0,1548605.0,36186.0,16800.0,1935450.0,1431319.0,1431319.0,0.0,510.0,99.0,3742,344,3742.0,,,3021,81,28102558.0,9302.0,138,40,573811.0,4158.0,50.0,53.0
100858,5254.0,21.0,0.0,0.0,3117.0,59.0,2137.0,41.0,0.0,0.0,24931.0,,,,4154.0,79.0,1275.0,24.0,4273.0,203.0,4.0,3686.0,3671.0,70.0,8679.0,1566.0,30.0,9579.0,5254,24931,157773233.0,3126,3887.0,74.0,9791.0,602.0,11.0,4969.0,1106.0,21.0,2221.0,1457.0,28.0,5238.0,290.0,6.0,25411.0,16225,65,9724.0,13,15083983.0,4825.0,6949,28,43478307.0,6257.0,38057494.0,5448368.0,2991610.0,2456758.0,748185.0,31860941.0,15001321.0,7632148.0,7369173.0,4133.0,79.0,24782,149,24782.0,,,16137,65,157000685.0,9729.0,88,59,772548.0,8779.0,13.0,28.0
100937,244.0,23.0,,,,,,,,,1058.0,,,,244.0,100.0,70.0,29.0,5579.0,132.0,54.0,1664.0,244.0,100.0,11663.0,210.0,86.0,7274.0,244,1058,14457249.0,240,244.0,100.0,14163.0,70.0,29.0,4964.0,44.0,18.0,977.0,207.0,85.0,5640.0,25.0,10.0,14407.0,1040,98,13901.0,23,1250909.0,5212.0,680,64,4617025.0,6790.0,3455829.0,390507.0,347507.0,43000.0,219629.0,2845693.0,1527580.0,1167404.0,360176.0,244.0,100.0,1054,4,1054.0,,,1040,99,14457249.0,13901.0,0,0,0.0,,23.0,65.0
101028,172.0,13.0,0.0,0.0,160.0,93.0,12.0,7.0,0.0,0.0,1360.0,,,,165.0,96.0,157.0,91.0,7669.0,27.0,16.0,847.0,74.0,43.0,5667.0,37.0,22.0,5487.0,172,1360,5005154.0,653,157.0,91.0,10486.0,116.0,67.0,7390.0,157.0,91.0,2209.0,37.0,22.0,5487.0,0.0,0.0,,1079,79,4639.0,48,2943020.0,4507.0,332,24,2003136.0,6034.0,1646247.0,1204033.0,857232.0,346801.0,22858.0,419356.0,203023.0,203023.0,0.0,165.0,96.0,1107,253,1107.0,,,844,76,4677373.0,5542.0,235,93,327781.0,1395.0,59.0,30.0
101116,12.0,4.0,,,,,,,,,341.0,,,,11.0,92.0,10.0,83.0,5149.0,2.0,17.0,438.0,2.0,17.0,1317.0,11.0,92.0,7144.0,12,341,1476533.0,219,11.0,92.0,5000.0,10.0,83.0,4899.0,2.0,17.0,1250.0,11.0,92.0,7144.0,0.0,0.0,,275,81,5369.0,64,929955.0,4246.0,233,68,1830396.0,7856.0,55001.0,51492.0,48992.0,2500.0,876.0,2633.0,78583.0,78583.0,0.0,11.0,92.0,337,4,337.0,,,275,82,1476533.0,5369.0,0,0,0.0,,65.0,69.0
101143,340.0,19.0,0.0,0.0,339.0,100.0,1.0,0.0,0.0,0.0,1796.0,,,,297.0,87.0,202.0,59.0,5687.0,26.0,8.0,558.0,133.0,39.0,4515.0,75.0,22.0,4431.0,340,1796,6332518.0,742,267.0,79.0,6606.0,199.0,59.0,5594.0,31.0,9.0,1146.0,75.0,22.0,4431.0,0.0,0.0,,1375,77,4605.0,41,3595549.0,4846.0,356,20,1911417.0,5369.0,1763738.0,1148717.0,1113177.0,35540.0,14500.0,600521.0,332346.0,332346.0,0.0,297.0,87.0,1336,460,1336.0,,,974,73,5502344.0,5649.0,401,87,830174.0,2070.0,56.0,27.0
101161,1047.0,15.0,0.0,0.0,1033.0,99.0,14.0,1.0,0.0,0.0,7063.0,,,,988.0,94.0,865.0,83.0,4891.0,153.0,15.0,643.0,291.0,28.0,6174.0,305.0,29.0,4987.0,1047,7063,24452109.0,2380,965.0,92.0,6348.0,558.0,53.0,5963.0,705.0,67.0,1281.0,302.0,29.0,4952.0,5.0,0.0,5083.0,6226,88,3927.0,34,11299972.0,4748.0,1531,22,8922286.0,5828.0,6126003.0,4230990.0,3327599.0,903391.0,98416.0,1796597.0,1521000.0,1495587.0,25413.0,981.0,94.0,5232,1831,5232.0,,,4516,86,21405842.0,4740.0,1710,93,3046267.0,1781.0,45.0,29.0
101189,179.0,9.0,,,,,,,,,1922.0,,,,178.0,99.0,107.0,60.0,5821.0,118.0,66.0,1804.0,159.0,89.0,12718.0,129.0,72.0,9307.0,179,1922,16777449.0,886,176.0,98.0,16238.0,107.0,60.0,5043.0,89.0,50.0,935.0,128.0,72.0,8648.0,9.0,5.0,10413.0,1475,77,11375.0,46,4277164.0,4827.0,1171,61,10228858.0,8735.0,2857901.0,622814.0,539584.0,83230.0,212882.0,2022205.0,1200631.0,1106915.0,93716.0,178.0,99.0,1713,209,1713.0,,,1462,85,16699884.0,11423.0,13,6,77565.0,5967.0,52.0,68.0
101240,625.0,15.0,0.0,0.0,617.0,99.0,8.0,1.0,0.0,0.0,4308.0,,,,569.0,91.0,405.0,65.0,5710.0,35.0,6.0,1098.0,298.0,48.0,2792.0,12.0,2.0,7107.0,625,4308,18191361.0,1988,519.0,83.0,6133.0,401.0,64.0,5486.0,33.0,5.0,3420.0,0.0,0.0,,12.0,2.0,7107.0,3272,76,5560.0,46,8932686.0,4493.0,0,0,0.0,,3182982.0,2312675.0,2199802.0,112873.0,38417.0,831890.0,85282.0,0.0,85282.0,519.0,83.0,3513,795,3513.0,,,2731,78,18045626.0,6608.0,541,68,145735.0,269.0,57.0,0.0
101277,,,,,,,,,,,,49.0,43.0,114.0,33.0,67.0,27.0,55.0,4088.0,0.0,0.0,,0.0,0.0,,2.0,4.0,6298.0,49,114,110377.0,27,27.0,55.0,4088.0,27.0,55.0,4088.0,0.0,0.0,,2.0,4.0,6298.0,0.0,0.0,,33,29,3345.0,24,110377.0,4088.0,18,16,91877.0,5104.0,110377.0,110377.0,110377.0,0.0,0.0,0.0,12596.0,12596.0,0.0,27.0,55.0,114,0,,114.0,0.0,33,29,110377.0,3345.0,0,0,0.0,,24.0,16.0
101286,514.0,13.0,0.0,0.0,506.0,98.0,8.0,2.0,0.0,0.0,3899.0,,,,435.0,85.0,296.0,58.0,5737.0,93.0,18.0,1319.0,120.0,23.0,8587.0,14.0,3.0,9054.0,514,3899,15188648.0,1854,388.0,75.0,7349.0,287.0,56.0,5619.0,66.0,13.0,1299.0,0.0,0.0,,14.0,3.0,9054.0,2854,73,5322.0,48,9030171.0,4871.0,0,0,0.0,,2851399.0,1698271.0,1612551.0,85720.0,122698.0,1030430.0,126752.0,0.0,126752.0,388.0,75.0,3191,708,3191.0,,,2480,78,14732902.0,5941.0,374,53,455746.0,1219.0,58.0,0.0
101295,961.0,18.0,0.0,0.0,941.0,98.0,20.0,2.0,0.0,0.0,5204.0,,,,773.0,80.0,494.0,51.0,5463.0,90.0,9.0,967.0,283.0,29.0,3906.0,216.0,22.0,5416.0,961,5204,14472564.0,2064,685.0,71.0,5681.0,485.0,50.0,5385.0,97.0,10.0,898.0,213.0,22.0,5258.0,5.0,1.0,10002.0,3067,59,4719.0,40,9388486.0,4549.0,1111,21,6512977.0,5862.0,3891241.0,2698685.0,2611563.0,87122.0,87052.0,1105504.0,1169944.0,1119932.0,50012.0,772.0,80.0,4297,907,4297.0,,,2406,56,13349866.0,5549.0,661,73,1122698.0,1698.0,48.0,26.0
101301,219.0,13.0,0.0,0.0,215.0,98.0,4.0,2.0,0.0,0.0,1627.0,,,,219.0,100.0,219.0,100.0,9241.0,57.0,26.0,3518.0,44.0,20.0,4251.0,0.0,0.0,,219,1627,9343825.0,668,219.0,100.0,11011.0,179.0,82.0,7345.0,219.0,100.0,3238.0,0.0,0.0,,0.0,0.0,,1627,100,5743.0,41,3841365.0,5751.0,0,0,0.0,,2411334.0,2023790.0,1314705.0,709085.0,200522.0,187022.0,0.0,0.0,0.0,219.0,100.0,942,685,942.0,,,942,100,7374237.0,7828.0,685,100,1969588.0,2875.0,71.0,0.0
101365,32.0,5.0,,,,,,,,,608.0,,,,32.0,100.0,19.0,59.0,5357.0,1.0,3.0,2755.0,25.0,78.0,3591.0,23.0,72.0,7232.0,32,608,2556775.0,389,31.0,97.0,6269.0,19.0,59.0,4915.0,16.0,50.0,525.0,22.0,69.0,7510.0,2.0,6.0,565.0,506,83,5053.0,64,1560407.0,4011.0,449,74,3173595.0,7068.0,194328.0,101789.0,93389.0,8400.0,2755.0,89784.0,166345.0,165216.0,1129.0,32.0,100.0,608,0,608.0,,,506,83,2556775.0,5053.0,0,0,0.0,,64.0,74.0
101435,250.0,30.0,,,,,,,,,839.0,,,,250.0,100.0,111.0,44.0,5473.0,171.0,68.0,1685.0,250.0,100.0,12437.0,202.0,81.0,7546.0,250,839,13240620.0,329,250.0,100.0,16020.0,107.0,43.0,4978.0,66.0,26.0,1134.0,200.0,80.0,5539.0,28.0,11.0,14873.0,832,99,15914.0,39,1569419.0,4770.0,617,74,4020909.0,6517.0,4005034.0,607490.0,532630.0,74860.0,288180.0,3109364.0,1524342.0,1107885.0,416457.0,250.0,100.0,839,0,839.0,,,832,99,13240620.0,15914.0,0,0,0.0,,39.0,74.0
101453,3.0,4.0,,,,,,,,,84.0,,,,3.0,100.0,3.0,100.0,4126.0,0.0,0.0,,3.0,100.0,8664.0,0.0,0.0,,3,84,511248.0,33,3.0,100.0,12790.0,3.0,100.0,4028.0,1.0,33.0,292.0,0.0,0.0,,0.0,0.0,,66,79,7746.0,39,134941.0,4089.0,5,6,34396.0,6879.0,38370.0,12377.0,12085.0,292.0,0.0,25993.0,0.0,0.0,0.0,3.0,100.0,72,12,72.0,,,65,90,511048.0,7862.0,1,8,200.0,200.0,46.0,7.0
101462,57.0,7.0,0.0,0.0,56.0,98.0,1.0,2.0,0.0,0.0,872.0,,,,51.0,89.0,49.0,86.0,5767.0,5.0,9.0,360.0,7.0,12.0,3196.0,0.0,0.0,,57,872,3046720.0,405,49.0,86.0,6261.0,41.0,72.0,5697.0,29.0,51.0,1690.0,0.0,0.0,,0.0,0.0,,811,93,3757.0,46,1969892.0,4864.0,0,0,0.0,,306770.0,282600.0,233582.0,49018.0,1800.0,22370.0,0.0,0.0,0.0,49.0,86.0,688,184,688.0,,,633,92,2850364.0,4503.0,178,97,196356.0,1103.0,59.0,0.0
101471,178.0,45.0,0.0,0.0,178.0,100.0,0.0,0.0,0.0,0.0,400.0,,,,178.0,100.0,19.0,11.0,1613.0,159.0,89.0,1603.0,0.0,0.0,,0.0,0.0,,178,400,784843.0,108,178.0,100.0,1604.0,19.0,11.0,1613.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,400,100,1962.0,27,174200.0,1613.0,0,0,0.0,,285482.0,30646.0,30646.0,0.0,254836.0,0.0,0.0,0.0,0.0,178.0,100.0,400,0,400.0,,,400,100,784843.0,1962.0,0,0,0.0,,27.0,0.0
