UNITID,UGPO9_N,UGPO9_T,UGPO9_A,GPO9_N,GPO9_T,GPO9_A,PO9_N,PO9_T,PO9_A,UGDOD_N,UGDOD_T,UGDOD_A,GDOD_N,GDOD_T,GDOD_A,DOD_N,DOD_T,DOD_A
100654,221.0,1173387.0,5309.0,13.0,100324.0,7717.0,234,1273711.0,5443.0,7.0,29702.0,4243.0,2.0,6000.0,3000.0,9,35702.0,3967.0
100663,264.0,2243724.0,8499.0,159.0,1682377.0,10581.0,423,3926101.0,9282.0,25.0,70250.0,2810.0,12.0,23474.0,1956.0,37,93724.0,2533.0
100690,5.0,28990.0,5798.0,18.0,123990.0,6888.0,23,152980.0,6651.0,6.0,16000.0,2667.0,23.0,62750.0,2728.0,29,78750.0,2716.0
100706,285.0,2264421.0,7945.0,58.0,435150.0,7503.0,343,2699571.0,7870.0,13.0,41750.0,3212.0,8.0,17250.0,2156.0,21,59000.0,2810.0
100724,94.0,413384.0,4398.0,11.0,63409.0,5764.0,105,476793.0,4541.0,6.0,14250.0,2375.0,0.0,0.0,,6,14250.0,2375.0
100751,823.0,8772213.0,10659.0,131.0,849317.0,6483.0,954,9621530.0,10085.0,38.0,111430.0,2932.0,12.0,23250.0,1938.0,50,134680.0,2694.0
100760,6.0,22453.0,3742.0,,,,6,22453.0,3742.0,0.0,0.0,,,,,0,0.0,
100812,54.0,219753.0,4070.0,5.0,15943.0,3189.0,59,235696.0,3995.0,8.0,12597.0,1575.0,7.0,16100.0,2300.0,15,28697.0,1913.0
100830,139.0,934989.0,6727.0,33.0,158022.0,4789.0,172,1093011.0,6355.0,27.0,90500.0,3352.0,12.0,41809.0,3484.0,39,132309.0,3393.0
100858,688.0,7541962.0,10962.0,147.0,1999152.0,13600.0,835,9541114.0,11426.0,20.0,69672.0,3484.0,25.0,56200.0,2248.0,45,125872.0,2797.0
100937,17.0,291765.0,17163.0,,,,17,291765.0,17163.0,0.0,0.0,,,,,0,0.0,
101028,53.0,148757.0,2807.0,,,,53,148757.0,2807.0,5.0,5904.0,1181.0,,,,5,5904.0,1181.0
101116,13.0,126653.0,9743.0,1.0,2677.0,2677.0,14,129330.0,9238.0,1.0,516.0,516.0,0.0,0.0,,1,516.0,516.0
101143,63.0,215479.0,3420.0,,,,63,215479.0,3420.0,0.0,0.0,,,,,0,0.0,
101161,108.0,305595.0,2830.0,,,,108,305595.0,2830.0,8.0,12480.0,1560.0,,,,8,12480.0,1560.0
101189,144.0,671985.0,4667.0,100.0,614439.0,6144.0,244,1286424.0,5272.0,11.0,7480.0,680.0,5.0,6013.0,1203.0,16,13493.0,843.0
101240,42.0,140919.0,3355.0,,,,42,140919.0,3355.0,3.0,4123.0,1374.0,,,,3,4123.0,1374.0
101277,0.0,0.0,,,,,0,0.0,,0.0,0.0,,,,,0,0.0,
101286,64.0,222791.0,3481.0,,,,64,222791.0,3481.0,9.0,11318.0,1258.0,,,,9,11318.0,1258.0
101295,191.0,850731.0,4454.0,,,,191,850731.0,4454.0,8.0,20981.0,2623.0,,,,8,20981.0,2623.0
101301,5.0,12719.0,2544.0,,,,5,12719.0,2544.0,0.0,0.0,,,,,0,0.0,
101365,30.0,143537.0,4785.0,3.0,17375.0,5792.0,33,160912.0,4876.0,8.0,28625.0,3578.0,0.0,0.0,,8,28625.0,3578.0
101435,29.0,644842.0,22236.0,1.0,13732.0,13732.0,30,658574.0,21952.0,0.0,0.0,,0.0,0.0,,0,0.0,
101453,1.0,10771.0,10771.0,1.0,5325.0,5325.0,2,16096.0,8048.0,0.0,0.0,,1.0,3618.0,3618.0,1,3618.0,3618.0
101462,31.0,89393.0,2884.0,,,,31,89393.0,2884.0,0.0,0.0,,,,,0,0.0,
101471,0.0,0.0,,,,,0,0.0,,0.0,0.0,,,,,0,0.0,
101480,99.0,695107.0,7021.0,31.0,110288.0,3558.0,130,805395.0,6195.0,6.0,15500.0,2583.0,1.0,2250.0,2250.0,7,17750.0,2536.0
101505,80.0,254816.0,3185.0,,,,80,254816.0,3185.0,2.0,978.0,489.0,,,,2,978.0,489.0
101514,145.0,392372.0,2706.0,,,,145,392372.0,2706.0,1.0,861.0,861.0,,,,1,861.0,861.0
101569,35.0,93212.0,2663.0,,,,35,93212.0,2663.0,2.0,1678.0,839.0,,,,2,1678.0,839.0
101587,34.0,145069.0,4267.0,53.0,299579.0,5652.0,87,444648.0,5111.0,8.0,29700.0,3713.0,4.0,6000.0,1500.0,12,35700.0,2975.0
101602,22.0,56888.0,2586.0,,,,22,56888.0,2586.0,0.0,0.0,,,,,0,0.0,
101648,5.0,34817.0,6963.0,,,,5,34817.0,6963.0,1.0,4000.0,4000.0,,,,1,4000.0,4000.0
101675,14.0,121462.0,8676.0,,,,14,121462.0,8676.0,0.0,0.0,,,,,0,0.0,
101693,14.0,174106.0,12436.0,2.0,20425.0,10213.0,16,194531.0,12158.0,0.0,0.0,,0.0,0.0,,0,0.0,
101709,71.0,318145.0,4481.0,1.0,8926.0,8926.0,72,327071.0,4543.0,13.0,31519.0,2425.0,0.0,0.0,,13,31519.0,2425.0
101736,29.0,88907.0,3066.0,,,,29,88907.0,3066.0,0.0,0.0,,,,,0,0.0,
101879,249.0,1734107.0,6964.0,45.0,243393.0,5409.0,294,1977500.0,6726.0,13.0,36750.0,2827.0,10.0,23400.0,2340.0,23,60150.0,2615.0
101897,27.0,81470.0,3017.0,,,,27,81470.0,3017.0,1.0,1107.0,1107.0,,,,1,1107.0,1107.0
101912,6.0,49818.0,8303.0,0.0,0.0,,6,49818.0,8303.0,0.0,0.0,,0.0,0.0,,0,0.0,
101994,4.0,25101.0,6275.0,,,,4,25101.0,6275.0,0.0,0.0,,,,,0,0.0,
102030,54.0,142497.0,2639.0,,,,54,142497.0,2639.0,0.0,0.0,,,,,0,0.0,
102049,64.0,1292712.0,20199.0,20.0,332049.0,16602.0,84,1624761.0,19342.0,0.0,0.0,,0.0,0.0,,0,0.0,
102067,131.0,199020.0,1519.0,,,,131,199020.0,1519.0,11.0,10972.0,997.0,,,,11,10972.0,997.0
102076,14.0,42145.0,3010.0,,,,14,42145.0,3010.0,0.0,0.0,,,,,0,0.0,
102094,220.0,1934910.0,8795.0,108.0,915583.0,8478.0,328,2850493.0,8691.0,15.0,36382.0,2425.0,5.0,12705.0,2541.0,20,49087.0,2454.0
102234,21.0,174966.0,8332.0,6.0,27540.0,4590.0,27,202506.0,7500.0,48.0,18307.0,381.0,54.0,134887.0,2498.0,102,153194.0,1502.0
102270,7.0,36422.0,5203.0,,,,7,36422.0,5203.0,0.0,0.0,,,,,0,0.0,
102298,3.0,34247.0,11416.0,0.0,0.0,,3,34247.0,11416.0,0.0,0.0,,0.0,0.0,,0,0.0,
102313,32.0,97058.0,3033.0,,,,32,97058.0,3033.0,0.0,0.0,,,,,0,0.0,
102368,633.0,4095764.0,6470.0,229.0,1283166.0,5603.0,862,5378930.0,6240.0,801.0,1922100.0,2400.0,1074.0,2210750.0,2058.0,1875,4132850.0,2204.0
102377,26.0,444312.0,17089.0,5.0,106966.0,21393.0,31,551278.0,17783.0,0.0,0.0,,0.0,0.0,,0,0.0,
102395,23.0,181632.0,7897.0,6.0,65893.0,10982.0,29,247525.0,8535.0,18.0,31256.0,1736.0,2.0,5250.0,2625.0,20,36506.0,1825.0
102429,38.0,93648.0,2464.0,,,,38,93648.0,2464.0,1.0,369.0,369.0,,,,1,369.0,369.0
102553,650.0,4307920.0,6628.0,39.0,322240.0,8263.0,689,4630160.0,6720.0,211.0,381065.0,1806.0,3.0,5250.0,1750.0,214,386315.0,1805.0
102580,1.0,10900.0,10900.0,,,,1,10900.0,10900.0,0.0,0.0,,,,,0,0.0,
102614,368.0,2650713.0,7203.0,43.0,209086.0,4862.0,411,2859799.0,6958.0,151.0,334615.0,2216.0,7.0,8750.0,1250.0,158,343365.0,2173.0
102632,55.0,243175.0,4421.0,6.0,89527.0,14921.0,61,332702.0,5454.0,5.0,14038.0,2808.0,8.0,16528.0,2066.0,13,30566.0,2351.0
102669,23.0,272463.0,11846.0,10.0,81861.0,8186.0,33,354324.0,10737.0,0.0,0.0,,0.0,0.0,,0,0.0,
102711,2.0,2778.0,1389.0,,,,2,2778.0,1389.0,0.0,0.0,,,,,0,0.0,
102845,242.0,3097822.0,12801.0,,,,242,3097822.0,12801.0,0.0,0.0,,,,,0,0.0,
103501,27.0,183061.0,6780.0,,,,27,183061.0,6780.0,0.0,0.0,,,,,0,0.0,
103741,3.0,44443.0,14814.0,,,,3,44443.0,14814.0,0.0,0.0,,,,,0,0.0,
103893,65.0,733483.0,11284.0,,,,65,733483.0,11284.0,0.0,0.0,,,,,0,0.0,
103909,18.0,223638.0,12424.0,,,,18,223638.0,12424.0,0.0,0.0,,,,,0,0.0,
103927,29.0,349634.0,12056.0,,,,29,349634.0,12056.0,0.0,0.0,,,,,0,0.0,
103954,0.0,0.0,,,,,0,0.0,,0.0,0.0,,,,,0,0.0,
103963,70.0,756440.0,10806.0,,,,70,756440.0,10806.0,0.0,0.0,,,,,0,0.0,
104090,11.0,53629.0,4875.0,0.0,0.0,,11,53629.0,4875.0,0.0,0.0,,0.0,0.0,,0,0.0,
104151,1923.0,19738464.0,10264.0,169.0,2621084.0,15509.0,2092,22359548.0,10688.0,56.0,188838.0,3372.0,2.0,9000.0,4500.0,58,197838.0,3411.0
104160,0.0,0.0,,,,,0,0.0,,0.0,0.0,,,,,0,0.0,
104179,1240.0,11503885.0,9277.0,300.0,4060935.0,13536.0,1540,15564820.0,10107.0,867.0,2123507.0,2449.0,64.0,235089.0,3673.0,931,2358596.0,2533.0
104346,49.0,38243.0,780.0,,,,49,38243.0,780.0,0.0,0.0,,,,,0,0.0,
104391,0.0,0.0,,,,,0,0.0,,0.0,0.0,,,,,0,0.0,
104425,150.0,216478.0,1443.0,,,,150,216478.0,1443.0,517.0,355173.0,687.0,,,,517,355173.0,687.0
104443,0.0,0.0,,,,,0,0.0,,0.0,0.0,,,,,0,0.0,
104568,8.0,98480.0,12310.0,,,,8,98480.0,12310.0,0.0,0.0,,,,,0,0.0,
104577,0.0,0.0,,,,,0,0.0,,0.0,0.0,,,,,0,0.0,
104586,183.0,5237140.0,28618.0,4.0,77054.0,19264.0,187,5314194.0,28418.0,6.0,8750.0,1458.0,0.0,0.0,,6,8750.0,1458.0
104708,343.0,463774.0,1352.0,,,,343,463774.0,1352.0,17.0,13940.0,820.0,,,,17,13940.0,820.0
104717,3247.0,17821594.0,5489.0,1419.0,7308663.0,5151.0,4666,25130257.0,5386.0,3618.0,9551624.0,2640.0,528.0,1213166.0,2298.0,4146,10764790.0,2596.0
105145,108.0,177987.0,1648.0,,,,108,177987.0,1648.0,14.0,11382.0,813.0,,,,14,11382.0,813.0
105154,337.0,447361.0,1327.0,,,,337,447361.0,1327.0,17.0,14079.0,828.0,,,,17,14079.0,828.0
105206,83.0,132724.0,1599.0,,,,83,132724.0,1599.0,3.0,6203.0,2068.0,,,,3,6203.0,2068.0
105215,219.0,2481374.0,11330.0,,,,219,2481374.0,11330.0,0.0,0.0,,,,,0,0.0,
105297,4.0,1238.0,310.0,0.0,0.0,,4,1238.0,310.0,0.0,0.0,,0.0,0.0,,0,0.0,
105330,536.0,4164396.0,7769.0,92.0,964699.0,10486.0,628,5129095.0,8167.0,94.0,227508.0,2420.0,69.0,159970.0,2318.0,163,387478.0,2377.0
105349,29.0,32550.0,1122.0,,,,29,32550.0,1122.0,0.0,0.0,,,,,0,0.0,
105367,7.0,43531.0,6219.0,4.0,21681.0,5420.0,11,65212.0,5928.0,1.0,1750.0,1750.0,0.0,0.0,,1,1750.0,1750.0
105428,130.0,163405.0,1257.0,,,,130,163405.0,1257.0,10.0,8991.0,899.0,,,,10,8991.0,899.0
105525,417.0,637555.0,1529.0,,,,417,637555.0,1529.0,277.0,167883.0,606.0,,,,277,167883.0,606.0
105534,149.0,1390339.0,9331.0,3.0,10525.0,3508.0,152,1400864.0,9216.0,0.0,0.0,,0.0,0.0,,0,0.0,
105543,20.0,227719.0,11386.0,,,,20,227719.0,11386.0,0.0,0.0,,,,,0,0.0,
105589,3.0,40449.0,13483.0,6.0,50839.0,8473.0,9,91288.0,10143.0,0.0,0.0,,0.0,0.0,,0,0.0,
